reference,whisper_small_prediction,whisper_small_process_time
makanan lain,makanan lain,0.6673605442047119
hm kalau aku aku kalau makanan luar negara,hm kalau aku aku kalau makanan luar negara,1.5310940742492676
aku selalu makan,aku selalu makan,0.7450740337371826
ah ori ori onigiri itu,ah ori ori onigiri itu,1.8097658157348633
onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,3.5837154388427734
ada yang,ada yang,0.5661754608154297
letak lobster,letak lobster,0.8850381374359131
ah letak ayam letak tuna,ah letak ayam letak tuna,1.621194839477539
memang sedap,spend sedap,1.088951826095581
ah dia onigiri tu ada dalam bentuk segi tiga je,ah dia onigiri tu ada dalam bentuk segi tiga je,2.1415717601776123
sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap,sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap,1.9035487174987793
ah contoh dia macam,ah contoh dia macam,0.8828620910644531
ah,ah,0.4297173023223877
contohnya,contohnya,0.6695730686187744
em,um,0.4330790042877197
nasi goreng pataya,nasi goreng pataya,1.0568656921386719
ah ah di-dia balut dengan telur,ah ah di-dia balut dengan telur,1.5074238777160645
dengan te- dengan dengan bat- telur dadar,dengan te- dengan dengan bat- telur dadar,1.7544686794281006
ha ah dia letak sos,ha ah dia letak sos,1.2453694343566895
kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak,kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak,3.132272958755493
bentuk macam macam lah,bentuk macam macam lah,1.0270206928253174
em,em,0.4394853115081787
makanan paling famous la eh aku nak makan,makanan paling famous la eh aku nak makan,1.383371353149414
aku nak makan,aku nak makan,0.6314363479614258
mi rebus,mi rebus,0.6353855133056641
ha ah,ha ah,0.5107190608978271
ah ah,ah ah,0.5541172027587891
betul,ter,0.41049861907958984
sedap ah ada yang mi rebus letak daging,sedap ah ada yang mi rebus letak daging,1.6274166107177734
letak daging hm,letak daging hm,0.8904557228088379
ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,4.856415271759033
mi rebus daging,mi rebus daging,0.9235198497772217
rasa dia pun lebih kurang juga sedap juga,rasa dia pun lebih kurang juga sedap juga,1.5720958709716797
nasi ayam makan apa tu,nasi ayam makan apa tu,1.0850634574890137
hm,hm,0.41016316413879395
oh,ah,0.42060065269470215
ha weh ah aku dah nak kena pergi bye,ha weh ah aku dah nak kena pergi bye,1.4799308776855469
bye mak,bye mak,0.5151386260986328
hai,hai,0.41872692108154297
um bila je,um bila je,0.7722353935241699
je,ya,0.4109201431274414
um tahu,um tahu,0.5264286994934082
ah,ah,0.411024808883667
hm,hm,0.4222428798675537
tak ada lagi,tak ada lagi,0.6376090049743652
um,hm,0.5488002300262451
um hm um,um hm um,0.8300812244415283
kalau aku tahu pasal,kalau aku tahu pasal,1.3627734184265137
pasal beraya ni aku tahu macam,pasal beraya ni aku tahu macam,1.487717866897583
orang Islam la pasal tudung,orang Islam la pasal tudung,1.0730786323547363
pakaian tudung dia lah,pakaian tudung dia lah,1.0687522888183594
um sebab,um sebab,0.641193151473999
[UNK] pada dua ribu tiga belas,er pada dua ribu tiga belas,1.2913930416107178
ah kebanyakkan wanita Melayu Malaysia pakai tudung,ah kebanyakkan wanita Melayu Malaysia pakai tudung,1.8344027996063232
kegunaan tudung ni,kegunaan tudung ni,1.0861706733703613
tak biasa sebelum [UNK] Iran semasa sembilan belas tujuh puluh sembilan,tak biasa sebelum Riva Dissi Iran semasa sembilan belas tujuh puluh sembilan,3.412198781967163
dan tempat tempat yang mempunyai wanita di tudung,dan tempat tempat yang mempunyai wanita di tudung,3.0879130363464355
cenderung menjadi kawasan pendalaman,cenderung menjadi kawasan pendalaman,1.5045886039733887
penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,3.047170877456665
ketika konservatisme,ketika konservatisme,1.008484125137329
agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,2.2279064655303955
beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,3.016450881958008
percaya bahawa hijab bukan satu mandatori,percaya bahawa hijab bukan satu mandatori,2.113976001739502
menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,3.917896032333374
pada tahun sama Malaysia mempunyai,pada tahun sama Malaysia mempunyai,1.4390347003936768
industri fesyen berkaitan tudung,industri fesyen berkaitan tudung,1.535088300704956
masyarakat Melayu Malaysia mempunyai,masyarakat Melayu Malaysia mempunyai,1.7552826404571533
reaksi negatif terhadap wanita Muslim yang tidak memakai tudung,reaksi negatif terhadap wanita Muslim yang tidak memakai tudung,2.2554423809051514
ha so tu je lah pasal,ha so tu je lah pasal,1.329662799835205
pasal tudung yang pasal budaya tudung yang aku tahu,pasal tudung yang pasal budaya tudung yang aku tahu,2.6733808517456055
selain daripada tu banyak lah lagi,selain daripada tu banyak lah lagi,1.3515527248382568
macam sukan,macam sukan,0.756181001663208
dia orang,dia orang,0.6940677165985107
ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,3.076838970184326
um macam Cina dia suka macam,um macam Cina dia suka macam,1.1381094455718994
sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la,sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la,2.661608934402466
Zapin,Zapin,0.8154373168945312
um um,um hm,0.7023417949676514
ha aku pernah lah masuk,ha aku pernah lah masuk,1.2107059955596924
tak ah dekat sekolah aku,tak ah dekat sekolah aku,1.6147370338439941
masuk kelab budaya so aku memang,masuk kelab budaya so aku memang,1.3209121227264404
ha ada pengalaman Zapin la dekat sekolah,ha ada pengalaman Zapin la dekat sekolah,1.72725510597229
so memang,so memang,0.5136938095092773
um boleh lah sebab aku memang minat menari,um boleh lah sebab aku memang minat menari,1.5734825134277344
so zapin je yang ada so memang aku masuk zapin ah,so zapin je yang ada so memang aku masuk zapin ah,1.7043859958648682
dia punya tarian tu memang,dia punya tarian tu memang,1.0932114124298096
kena lembut,kena lembut,0.7528994083404541
lepas tu ada step step yang,lepas tu ada step step yang,1.1515626907348633
susah yang kena laju so memang kau kena,susah yang kena laju so memang kau kena,2.4151504039764404
cepat pick up,cepat bikak,1.2192258834838867
hm,hm,0.5063583850860596
hm,hm,0.43560266494750977
um,um,0.4311234951019287
um hm,hm,0.4256148338317871
kalau aku aku suka,kalau aku aku suka,0.8859920501708984
macam,macam,0.5217516422271729
Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,3.27911114692688
sebab cantik,sebab cantik,0.7487456798553467
um hm,eh em,0.5258183479309082
ha ah,ah,0.4280078411102295
ke,ke,0.4253687858581543
lagu Melayu kot sebab,lagu Melayu kot sebab,1.1881427764892578
aku tak dwi bahasa selain daripada Melayu kalau English boleh lah,aku tak dwi bahasa selain daripada Melayu kalau English boleh lah,3.096911907196045
um hm,um hm,0.7776780128479004
um,em,0.5569462776184082
kau pernah pergi macam,kau pernah pergi macam,0.8649868965148926
ha Warisan Budaya buat persembahan dekat muzium muzium tu ke kau pernah,ha Warisan Budaya buat persembahan dekat muzium muzium tu ke kau pernah,2.7245893478393555
um,um,0.44756269454956055
aku kalau,aku kalau,0.5485470294952393
macam tengok tengok,macam tengok tengok,0.9555668830871582
karya-karya tu pernah la macam lawatan daripada sekolah ke,karya-karya tu pernah la macam lawatan daripada sekolah ke,2.401093006134033
um hm,um um,0.5444912910461426
macam seni seni,macam seni seni,0.735602855682373
tu sejarah sejarah,tu sejarah sejarah,1.296708106994629
daripada ha ne-negeri tina,daripada ha ne-negeri tina,2.117783784866333
seni seni budaya ha macam tu,seni seni budaya ha macam tu,1.4756114482879639
ha karya-karya,ha karya-karya,0.9643642902374268
um hm,em em,0.5227994918823242
hm,hm,0.4158766269683838
ha pasal budaya juga kan ada macam kita macam,ha pasal budaya juga kan ada macam kita macam,1.5257697105407715
macam seni mempertahankan diri macam silat,macam seni mempertahankan diri macam silat,1.7735168933868408
lepas tu wushu macam aku aku pernah masuk,lepas tu wushu macam aku aku pernah masuk,1.527034044265747
silat,silat,0.504957914352417
silat ah ada lah nama silat kelab dia tu aku pernah masuk,silat ah ada lah nama silat kelab dia tu aku pernah masuk,2.116899251937866
ha ialah orang kata kalau umur sekarang ni,ha ialah orang kata kalau umur sekarang ni,2.0575056076049805
untuk mempertahankan diri,untuk mempertahankan diri,1.8916575908660889
time tu umur aku,time tu umur aku,0.9309384822845459
sepuluh tahun,sepuluh tahun,0.876039981842041
aku masuk,aku masuk,0.5406603813171387
silat tu daripada umur sepuluh tahun sampai aku tingkatan satu,silat tu daripada umur sepuluh tahun sampai aku tingkatan satu,2.3876912593841553
so banyak,so banyak,0.5641376972198486
so banyak lah,so banyak lah,0.6465544700622559
ah pergerak pergerakan-pergerakan silat tu yang kau kadang,ah pergerak pergerakan-pergerakan silat tu yang kau kadang,2.28647780418396
ah aku silat kalau ada,ah aku silat kalau ada,0.994382381439209
majlis perkahwinan,majlis perkahwinan,1.3136725425720215
dia orang akan panggil kumpulan silat kita orang untuk buat persembahan,dia orang akan panggil kumpulan silat kita orang untuk buat persembahan,3.527909755706787
ataupun,ataupun,0.660123348236084
dari,dari,0.5430295467376709
ataupun program-program dekat sekolah ah kita orang ada buat,ataupun program-program dekat sekolah ah kita orang ada buat,1.9886431694030762
persembahan silat lah kita buat yang basic punya,persembahan silat lah kita buat yang basic punya,1.553450345993042
kita cuti,kita cuti,0.7621917724609375
hm um so banyaklah tentang budaya ni,hm um so banyaklah tentang budaya ni,1.305783987045288
yang aku tau lepas tu pernah aku masuk macam silat ah apa semua tu,yang aku tau lepas tu pernah aku masuk macam silat ah apa semua tu,2.1454031467437744
tarian yang aku pernah,tarian yang aku pernah,0.8758573532104492
join lah,join lah,0.6967623233795166
itu je bye,itu je bye,0.8392899036407471
hai Syakirah,hai Syakirah,1.139923334121704
macam mana kau sekarang sihat,macam mana kau sekarang sihat,1.5825836658477783
Alhamdulillah,Alhamdulillah,0.7626087665557861
tapikan sekarangkan kan sekarangkan banyak penyakitkan,tapikan sekarangkan kan sekarangkan banyak penyakitkan,1.8825030326843262
kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang,kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang,2.8405189514160156
tersebar sekarang ada yang penyakit daripada kutu Denggi aku tak taulah ada dari-daripada ber-berita kutu dia kat kulit aku tak tau sebab apa dia ma-macam aku dia macam penyakit bahaya jugalah,tersebar sekarang ada yang penyakit daripada kutu Denggi aku tak taulah ada dari-daripada ber-berita kutu dia kat kulit aku tak tau sebab apa dia ma-macam aku dia macam penyakit bahaya jugalah,8.85729694366455
ush tu tak ada tak ada vaksin dia tu tu kalau ada vaksin dia semua orang dah selamat tapi ramai yang dah meninggal sebab,ush tu tak ada tak ada vaksin dia tu kalau ada vaksin dia semua orang dah selamat tapi ramai yang dah meninggal sebab,3.941586971282959
Corona,Corona,0.574592113494873
um um,hm hm,0.5396215915679932
betul,betul,0.5225083827972412
betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Sya-Syarikat dia,betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Sya-Syarikat dia,2.892364978790283
ya Allah hampir keseluruhan,ya Allah hampir keseluruhan,1.455374002456665
penduduk situ kena,penduduk situ kena,1.301173448562622
dia orang punya mat ah Corona tu meningkat je setiap masa,dia orang punya mat ah Corona tu meningkat je setiap masa,2.7989606857299805
dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya perdana menteri sekarang,dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya perdana menteri sekarang,3.0824739933013916
apa ni,apa ni,0.5405378341674805
tak macam fikirkan diri sendiri tau,tak macam fikirkan diri sendiri tau,1.2985470294952393
ya,ya,0.4218108654022217
tapi,tapi,0.531186580657959
dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru Denggi kan,dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru Denggi kan,2.8542356491088867
Denggi ni,Denggi ni,0.7963578701019287
nyamuk,nyamuk,0.8079464435577393
kan kan setiap tahun mesti ada tapi kali ni dia macam extreme tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarangkan dia gigit sekali terus gatal,kan kan setiap tahun mesti ada tapi kali ni dia macam extreme tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarangkan dia gigit sekali terus gatal,6.192393064498901
dia kat ada satu nyamuk ni yang buat Denggi nilah dia gigitkan,dia kat ada satu nyamuk ni yang buat Denggi nilah dia gigitkan,2.6183998584747314
memang kita,memang kita,0.6788506507873535
macam lemah,macam lemah,0.7547106742858887
sebab tu aku sekarang,sebab tu aku sekarang,0.8775324821472168
memang jaga-jaga gila,memang jaga-jaga gila,1.2887320518493652
kan aku pernah kena sekali,kan aku pernah kena sekali,1.1961073875427246
um um,em em,0.6818361282348633
masuk masa tu darjah dua tak silap aku aku kena ruam ruam Denggi,masuk masa tu darjah dua tak silap aku aku kena ruam ruam Denggi,3.6106350421905518
pas tu [UNK] kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa,pas tu dia kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa,3.2964792251586914
dahlah puasa,dahlah puasa,0.8847999572753906
lepas balik sekolah,lepas balik sekolah,1.0748329162597656
memang lemahkan lepas tu kan,memang lemahkan lepas tu kan,1.2707250118255615
kan ada sofa sofa kat depan rumah aku aku baring situkan sekali bangun-bangun je banyak bintik-bintik mak aku dah hantar pergi pergi hospital dah masa tu,kan ada sofa sofa kat depan rumah aku aku baring situkan sekali bangun-bangun je banyak bintik-bintik mak aku dah hantar pergi pergi hospital dah masa tu,6.043970584869385
dapat,napat,0.5537009239196777
tapi memang sakit ah sebab masa tu ya kan kan kena cucuk da-darahkan,tapi memang sakit ah sebab masa tu ya kan kan kena cucuk da-darahkan,2.7828636169433594
dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk,dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk,3.0493147373199463
tak dapat sekali ah ah sekali masa ah dekat siku,tak dapat sekali ah ah sekali masa ah dekat siku,1.6869921684265137
baru dia dapat darah aku,baru dia dapat darah aku,1.0829870700836182
ni macam baru dapat tempat yang boleh salurkan ni,ni macam baru dapat tempat yang boleh salurkan ni,2.035660982131958
sakit wei aku menangis tapi kita kena jagalah kesihatan kita semua,sakit wei aku menangis tapi kita kena jagalah kesihatan kita semua,3.3561580181121826
kau tak kena macam-macam,kau tak kena macam-macam,1.3083248138427734
ish demam panas bahaya,ish demam panas bahaya,1.067119836807251
sumpahlah,sumpahlah,0.7643325328826904
wau,wow,0.44722485542297363
yalah dah muntahkan,yalah dah muntahkan,1.081714153289795
sakit wei kalau muntah aku walaupun aku tak suka muntahkan tapi bila rasa nak muntah kan aku rasa macam sakit gila kat tekak,sakit wei kalau muntah aku walaupun aku tak suka muntahkan tapi bila rasa nak muntah kan aku rasa macam sakit gila kat tekak,4.927727222442627
kalau perasan memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah,kalau perasan memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah,3.6828653812408447
em em,em em,0.5573470592498779
yang untuk check Corona virus tu kan kena cucuk dalam tekak kan sakit weh ah,yang untuk check Corona virus tu kan kena cucuk dalam tekak kan sakit weh ah,2.565568447113037
ya ya sakit sakit aku tahu aku paling tak suka muntahlah dalam banyak-banyak benda aku paling tak suka muntah,ya ya sakit sakit aku tahu aku paling tak suka muntahlah dalam banyak-banyak benda aku paling tak suka muntah,3.774252414703369
setiap kali kalau aku nak muntah mesti aku akan telan balik,setiap kali kalau aku nak muntah mesti aku akan telan balik,2.4272122383117676
em,hm,0.5776474475860596
ya aku telan balik,ya aku telan balik,1.286773920059204
aku tak tahu kenapakan memang kalau telan balik rasa memang pelik kan rasa tak sedapkan sebab,aku tak tahu kenapakan memang kalau telan balik rasa memang pelik kan rasa tak sedapkan sebab,3.699202299118042
apa yang kita makan tu kita telan balikkan tapi,apa yang kita makan tu kita telan balikkan tapi,1.6845786571502686
memang aku memang aku tak suka muntah,memang aku memang aku tak suka muntah,1.4594645500183105
sebab aku pernah muntah,sebab aku pernah muntah,1.0981707572937012
bukan muntah tau dia macam kahak tau,bukan muntah tau dia macam kahak tau,1.5460474491119385
kan kahak kahak kan susah nak keluarkan,kan kahak kahak kan susah nak keluarkan,1.5331170558929443
so,so,0.43111157417297363
pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit ah nak keluarkan kahak je [UNK] tak boleh [UNK] daripada tu terus aku tak,pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit ah nak keluarkan kahak je se-tak boleh-daripada tu terus aku tak,7.541780948638916
tak tak suka muntah,tak tak suka muntah,0.9900290966033936
em em,um hm,0.5365891456604004
oh ya ambil darah,oh ya ambil darah,0.9576809406280518
ambil darah tak payah [UNK] tak payah ceritalah memang sakitlah,ambil darah tak payah ceritalah memang sakitlah,1.8304836750030518
