reference,base_prediction
um, hmm
ah, ah
sedapnya, bukannya
lepas tu contoh makanan lain, lalu contoh makan dengan lain
ah, ah
rendang, dan dah
ren, bent
dia bukan makan rendang tu time Hari Raya je ke, dia bukan makan rendang tu timh hari raya juga
em lepas tu and then, wasu dan kemudian
hm, hmm
lepas tu makanan-makanan lain yang kau suggest kan, makanan lain yang kau saguskan
mi kari, mekari
mi kari tu macam mana, mika hari itu macam mana
yang spaghetti, masak sedikit
bukan, bukan
bukan yang mi kuning biasa ke, baka imi ikonnya meyasuh iku
lagi sedap, lagi setelah
kenapa rasa dia lain ke, kenapa rasa dia lain ke
oh, ya
so makanan lain yang aku nak rasa, so makanan lain yang aku nak rasa
aku nak makan, takut nak makan
ah, aaaaah
nasi ah bukan nasi, nasi ah bukan nasi
em ayam masak merah, mmm ayam masa merah
sedap sedap sangat, sudah sudah tidak sanggup
ah ah tu, aduh
[UNK] aku macam kalau time hari raya, apa atau kata saya akan beritahu awak
aku selalu makan, aku selalu makan
tu je ayam masak merah je, duduk ayo masuk saya naikkan
boleh, bukan apa
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga, maka dengan nasi empat juga maka dengan nasi pun sedap juga
yang ketupat punya sedap, dan ketupak itu sedap
em makanan sekejap eh aku fikir, makanan saya fikir
ah apa kan, aduh abu kan
luar negara, lohan agar
hm, hmm
ramai lah ramen, ramina ramin
ha, 
aku suka ramen yang samyang tu, yang sebenarnya saya memerlukan
yang original punya yang pedas, yang original punya bedas
em kalau aku suka pedas pedas tak suka yang bercheese, hmm kalau aku suka berada betul tak suka yang peciz
cheese kalau aku makan cheese, cis aku makan cis
pening kepala, pening palu
sushi, susi
kenapa, bukan afuk
ah lepas tu, kamu suka
ah, hmmmm
makanan lain, makanan lain
hm kalau aku aku kalau makanan luar negara, kalau aku aku kalau makanan luar negara
aku selalu makan, kau kuzah makai
ah ori ori onigiri itu, ah ori ori ori gergidu
onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar, oligeri yang ada dia pulut segi 3 pulut segi 3 dalam tu adalah kalau kat luar
ada yang, adil yai
letak lobster, letak lobster
ah letak ayam letak tuna, fahad ayah lewat adunan
memang sedap, kita sedap
ah dia onigiri tu ada dalam bentuk segi tiga je, ah dia ada kereta dia ambil tak segitiga saja
sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap, karnationnya ada banyak lagi makanan sedap
ah contoh dia macam, saya jantar dulu saya
ah, hmm
contohnya, jantanya
em, hmm
nasi goreng pataya, nasi korang patah ya
ah ah di-dia balut dengan telur, ah ah dia balut dengan telur
dengan te- dengan dengan bat- telur dadar, dengan lebat telur lada
ha ah dia letak sos, ah dia tersos
kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak, tak sas macammacam ladle tak ada buat macam buntuk corak
bentuk macam macam lah, tak apaapa macamlah
em, hmm
makanan paling famous la eh aku nak makan, makanan paling famous lah aku nak makan
aku nak makan, aku nak makan
mi rebus, mirabos
ha ah, uh uh
ah ah, uh uh
betul, tu
sedap ah ada yang mi rebus letak daging, ada yang miribus letak daging
letak daging hm, lelakilaki
ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat, ada sistem orang kan ada elegit dengan udang jadi mereka tak di makan ada orang buat
mi rebus daging, mirabu steak
rasa dia pun lebih kurang juga sedap juga, rasa dia pun lebih kurang juga sedap juga
nasi ayam makan apa tu, pes ayam bukan apa tu
hm, hmm
oh, uuuuhh
ha weh ah aku dah nak kena pergi bye, saya nak pergi bye
bye mak, baiklah
hai, hai
um bila je, saya akan
je, ya
um tahu, hmm kata u
ah, ah
hm, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
tak ada lagi, terima kasih
um, hmm
um hm um, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
kalau aku tahu pasal, kaliaku tau basal
pasal beraya ni aku tahu macam, pasal berlainnya aku tahu macam
orang Islam la pasal tudung, orang islam lah pasal tudung
pakaian tudung dia lah, pakaian tudung
um sebab, hmm sepat
[UNK] pada dua ribu tiga belas, pada 233
ah kebanyakkan wanita Melayu Malaysia pakai tudung, kebanyakan wanita melayu malaysia pakai tudung
kegunaan tudung ni, pundangin tudung ni
tak biasa sebelum [UNK] Iran semasa sembilan belas tujuh puluh sembilan, ketika sebelum rivedesi irens masa 19001900 7000 milen
dan tempat tempat yang mempunyai wanita di tudung, dan tempattempat yang mempunyai wanita ditudung
cenderung menjadi kawasan pendalaman, cenderung menjadi gawasan pendalaman
penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an, pergunaan tudung semakin meningkat selepas tahun 1970an
ketika konservatisme, ketika konservasi semua
agama di kalangan orang Melayu di Malaysia dan Singapura meningkat, agama dikalangan orang melayu di malaysia dan singapura meningkat
beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an, beberapa ulama dan tokoh agama pelantan pada 1960 an
percaya bahawa hijab bukan satu mandatori, percaya bahawa hijab bukan satu mandatory
menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam, menjelang 2015 ulama malaysia percaya pandangan sebelum ini tidak bercirikan islam
pada tahun sama Malaysia mempunyai, pada tahun sama malaysia mempunyai
industri fesyen berkaitan tudung, industri fesyen berkaitan tu dong
masyarakat Melayu Malaysia mempunyai, masyarakat malaysia mempunyai
reaksi negatif terhadap wanita Muslim yang tidak memakai tudung, ya si negatif terhadap wanita musli yang tidak memakat tudung
ha so tu je lah pasal, selepas itu dia akan beri kejutan
pasal tudung yang pasal budaya tudung yang aku tahu, pertuduk yang pasal budaya itu doanya aku tahu
selain daripada tu banyak lah lagi, selain daripada itu banyak lagi
macam sukan, jangan sukar
dia orang, dorong
ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia, dua kebayakan tak pakai tudung yang macam inja dia macam suka saria atas kepala dia
um macam Cina dia suka macam, macam cina dia suka macam
sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la, sepik sepik macam cucacuca dia simpul rambut dia
Zapin, zappin
um um, mmmm
ha aku pernah lah masuk, aku penalah masuk
tak ah dekat sekolah aku, di sekolah aku
masuk kelab budaya so aku memang, kelat budaya
ha ada pengalaman Zapin la dekat sekolah, ada pengalaman zafina dekat sekolah
so memang, sula memang
um boleh lah sebab aku memang minat menari, yang bolehlah sebab aku memang minat menari
so zapin je yang ada so memang aku masuk zapin ah, sezapin dia yang ada sebabnya aku masuk zapin
dia punya tarian tu memang, dia punya tarian tu memang
kena lembut, kena lium pot
lepas tu ada step step yang, kemudian ada setiapsetiap yang
susah yang kena laju so memang kau kena, susah yang kena lajuh su memang kena
cepat pick up, jangan biar kita
hm, hmm
hm, hmm
um, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
um hm, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
kalau aku aku suka, kala kuakus ke
macam, macam
Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab, sebab aku suka pakaiannya kalau dalam tarian aku suka tengok pakaiannya sebab
sebab cantik, sebab cantik
um hm, iya
ha ah, ah
ke, kek
lagu Melayu kot sebab, dan bumlah juga sebab
aku tak dwi bahasa selain daripada Melayu kalau English boleh lah, aku tak berdi bahasa selain daripada bayu kalau inggris bolehlah
um hm, hmm
um, hmm
kau pernah pergi macam, kau pernah pergi macam
ha Warisan Budaya buat persembahan dekat muzium muzium tu ke kau pernah, bagaimana boleh saya buat pembaharan dekat museummuseum itu ke kau pernah
um, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
aku kalau, aku kalau
macam tengok tengok, tengok tengok tengok
karya-karya tu pernah la macam lawatan daripada sekolah ke, karyakarya tu penala macam melawatan dari pandai sekolah ke
um hm, mmmm
macam seni seni, macam senisini
tu sejarah sejarah, tu sijarah sijarah
daripada ha ne-negeri tina, daripada negeri daina
seni seni budaya ha macam tu, sini simblaie
ha karya-karya, ah karier karier
um hm, mmmm
hm, hmm
ha pasal budaya juga kan ada macam kita macam, bahasa buda aji juga ada macam kita macam
macam seni mempertahankan diri macam silat, macam sedih mempatahankan diri macam sidlain
lepas tu wushu macam aku aku pernah masuk, kemudian itu wushu macam aku aku pernah masuk
silat, sile
silat ah ada lah nama silat kelab dia tu aku pernah masuk, silek adalah nama silek kelab dia tu aku pernah masuk
ha ialah orang kata kalau umur sekarang ni, yalah orang kata kalau umur saya ni
untuk mempertahankan diri, untuk mempertahankan diri
time tu umur aku, tempuh umur aku
sepuluh tahun, 10 tahun
aku masuk, aku masuk
silat tu daripada umur sepuluh tahun sampai aku tingkatan satu, silek tu daripada umur 10 tahun sampai aku tiga tang satu
so banyak, so banya
so banyak lah, so banyaklah
ah pergerak pergerakan-pergerakan silat tu yang kau kadang, pergerakaipergerakai silat tu yang aku tahu kadang
ah aku silat kalau ada, aku select kalau ada
majlis perkahwinan, maat lis perkawinan
dia orang akan panggil kumpulan silat kita orang untuk buat persembahan, mereka akan panggil kumpulan sila kita orang untuk buat pesan bahan
ataupun, ataupun
dari, dari
ataupun program-program dekat sekolah ah kita orang ada buat, ataupun programprogram dekat sekolah kita orangorang dibuat
persembahan silat lah kita buat yang basic punya, pesambahan silalah kita bukannya ambasit punya
kita cuti, jangan lupa menonton
hm um so banyaklah tentang budaya ni, so banyaklah tentang budaya gini
yang aku tau lepas tu pernah aku masuk macam silat ah apa semua tu, yang aku tahu pasal itu penaku masuk macam segit apa semua tu
tarian yang aku pernah, karien yang aku pernah
join lah, joina
itu je bye, selamat tinggal
hai Syakirah, hai shakira
macam mana kau sekarang sihat, macam mana kau sekarang siap
Alhamdulillah, alhamdulillah
tapikan sekarangkan kan sekarangkan banyak penyakitkan, tapi kan sekarang kan kan sekarang kan banyak penyakit kan
kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang, kalau kau tengok berita semalam tak silap aku tiga atau dua penyakit yang
tersebar sekarang ada yang penyakit daripada kutu Denggi aku tak taulah ada dari-daripada ber-berita kutu dia kat kulit aku tak tau sebab apa dia ma-macam aku dia macam penyakit bahaya jugalah, tersebar sekarang adi yang penyakit daripada kutu dengi aku tak tahu lah adi daripada berita kutu dia ikat kulit aku tak tahu sebab apa dia macam penyakit bahaya juga lah
ush tu tak ada tak ada vaksin dia tu tu kalau ada vaksin dia semua orang dah selamat tapi ramai yang dah meninggal sebab, ush itu tak ada tak ada vaksinya tu kalau ada vaksinya semua orang dah selamat tapi ramai yang dah meninggal sebab
Corona, koronah
um um, hmm hmm
betul, fikir
betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Sya-Syarikat dia, betul lagilagi kalau kau tengok sekarang di amerika syarikat jatuh
ya Allah hampir keseluruhan, ya allah hampir keseluruhan
penduduk situ kena, penduduk situ kena
dia orang punya mat ah Corona tu meningkat je setiap masa, mereka mempunyai korona yang meningkat setiap masa
dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya perdana menteri sekarang, jauh orang buat tapi biasa lah penaka dengar cakap lagilagi dia punya pedana menteri sekarang
apa ni, apani
tak macam fikirkan diri sendiri tau, tak macam fikirkan diri sendiri ya
ya, you
tapi, terima kasih
dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru Denggi kan, dalam masalah koronavirus kita ada juga yang baru dengian
Denggi ni, dengan ni
nyamuk, yang mau
kan kan setiap tahun mesti ada tapi kali ni dia macam extreme tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarangkan dia gigit sekali terus gatal, sejak tahu dia masih ada tapi kali ini dia macam extreme ini macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarang kan dia gigit sekali terus kata
dia kat ada satu nyamuk ni yang buat Denggi nilah dia gigitkan, jadi ada satu nyamuk ni yang buat dia gilah dia gilah
memang kita, terima kasih
macam lemah, bagaimana
sebab tu aku sekarang, sebab itu aku sekarang
memang jaga-jaga gila, memang jagajaga itu
kan aku pernah kena sekali, aku pernah kena sekali
um um, mmmm
masuk masa tu darjah dua tak silap aku aku kena ruam ruam Denggi, masuk masa tu dah jadua tak silakku aku kena ruam ruam dinggi
pas tu [UNK] kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa, kemudian keadaan kemudian balik sekolah sebab aku rasa lemah masa itu puasa
dahlah puasa, dan apuasir
lepas balik sekolah, lepas balik sekolah
memang lemahkan lepas tu kan, mereka ada yang ingin mengalami
kan ada sofa sofa kat depan rumah aku aku baring situkan sekali bangun-bangun je banyak bintik-bintik mak aku dah hantar pergi pergi hospital dah masa tu, saya ada sofa di rumah saya saya berada di situ sekarang saya bangunbangun banyak mingguminggu mak saya dah hantar pergi hospital
dapat, lepas
tapi memang sakit ah sebab masa tu ya kan kan kena cucuk da-darahkan, tapi memang sakit lah sebab masa tu kan kena cucu darah kan
dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk, dia cucuk darah kat 2212 tahun lalu dekat 5 kali dia cucuk
tak dapat sekali ah ah sekali masa ah dekat siku, tak dapat sekali sekali masa dekat siko
baru dia dapat darah aku, dan baru didapai daraku
ni macam baru dapat tempat yang boleh salurkan ni, ini macam baru dapat tempat yang boleh salu kan
sakit wei aku menangis tapi kita kena jagalah kesihatan kita semua, sakit bih aku menangis tapi kita kena jagajaga kesihatan kita semuanya
kau tak kena macam-macam, kau tak kenyai macammacam
ish demam panas bahaya, terima kasih bayi
sumpahlah, sumpala
wau, wow
yalah dah muntahkan, dan dan monta
sakit wei kalau muntah aku walaupun aku tak suka muntahkan tapi bila rasa nak muntah kan aku rasa macam sakit gila kat tekak, sakit kalau muntah walaupun aku tak suka muntahan tapi bila rasa nak muntah lah aku rasa macam sakit gila kat dekat
kalau perasan memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah, kalau perasa memang sakit lah memang pedih teka kita sebenarnya kalau nak muntah
em em, mmmm
yang untuk check Corona virus tu kan kena cucuk dalam tekak kan sakit weh ah, yang untuk cek koronavirus itu kan kena cocok dalam tekaan sakit dia
ya ya sakit sakit aku tahu aku paling tak suka muntahlah dalam banyak-banyak benda aku paling tak suka muntah, yuh yuh sakit sakit aku tahu aku pun tak suka muntah lah dalam banyakbanyak benda aku pun tak suka muntah
setiap kali kalau aku nak muntah mesti aku akan telan balik, secak kali kalau aku nak muntah mesti aku akan telan balik
em, hmm
ya aku telan balik, ya aku tak nak balik
aku tak tahu kenapakan memang kalau telan balik rasa memang pelik kan rasa tak sedapkan sebab, aku tak tahu kenapa kan memang kalau telah balik rasa memang perlihan rasa tak sedap kan soba
apa yang kita makan tu kita telan balikkan tapi, apa yang kita makan itu kita tengah balik
memang aku memang aku tak suka muntah, memang aku tak suka muntah
sebab aku pernah muntah, sebab aku pun amun tah
bukan muntah tau dia macam kahak tau, bukan muntah dia macam kahak
kan kahak kahak kan susah nak keluarkan, kami kakak kakak susah nak keluar kan
so, so
pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit ah nak keluarkan kahak je [UNK] tak boleh [UNK] daripada tu terus aku tak, pernah sekali ni aku nak keluarkan kahak tuan sampai aku bimbit sakit gila mak aku pun mak aku pegang pegut aku memang sakit lah nak keluarkan kahak je tak boleh daripada tu terus aku tak
tak tak suka muntah, tak suka muntah
em em, hmm hmm
oh ya ambil darah, amin darah
ambil darah tak payah [UNK] tak payah ceritalah memang sakitlah, amit darah tak payah cerita memang sakit lah
ya kalau kita kalau kita dapat nurse yang baik, kalau kita dapat nurse yang baik
dia akan macam, diakan ojong
okey okey slow slow slow slow tapi kalau kita dapat nurse yang garangkan terus cucuk weh aku macam sakit weh aku pernah kena aku pernah kena, okey okey selaluselalu tapi kalau kita dapat nasi yang sekarang kan terus cocok aku macam sakit aku pernah kena aku pernah kena
tapi kan, terima kasih
[UNK] um kalau kita ambil darahkan, so kalau kita ambil darah kan
kita rasa macam, kita
pe- ah peningkan, peningin
kalau perasan kalau kita nak kalau aku kalau ambil darahkan mesti aku akan pengsan, kalau kita kakakuk dengan medan ryan maksudnya aku akan pingsan
aku ah aku akan macam terus tak sedar, aku aku akan macam terus terseda
sebab aku tak suka tengok darah sebab tu lah kalau aku [UNK] kalau aku terfikir nak nak buat sesuatu tu macam buat dekat aku punya tangan ke apa kan aku mesti fikir banyak kali sebab aku tak suka darah, sebab aku tak suka tengok darah sebab itu dah kalau aku terfikir nak buat sesuatu itu macam buat dekat aku bintangan ke apa kan aku masih fikir banyak kali sebab aku tak suka darah
[UNK] tak suka doh, ayuh dah skrida
wau, wow
wau, wow
sakit eh, salki
tapikan, terima kasih
ah macam yang Cikgu Salina cakap tadikan, macam yang cik gusalina cakap tadi kan
yang dia cakap kau ada yang kau yang, dan dia cakap call it uncle
yang kolestrol dalam badan dia tinggi tu, dan colesterol dalam badan dia tinggi
sebenar- sebenarnya tu bahaya juga tau, sebenarnya itu bayi juga tahu
[UNK] kita mungkin kita ah ketawakan dengar dia cakap macam tu tapi sebenarnya tu bahaya aku pernahlah nampak orang yang kena kolestrol tinggikan dia memang dia punya darah tinggi semua tinggi memang dia kena pantang je setiap masa, mungkin kita ketahuan dengan dia cakap macam tu tapi sebenarnya itu bahaya aku pernah nampak orang yang kena kualiti segera tinggi dia memang dia punya darah tinggi semua tinggi memang dia kena pantang dia setiap masa
tak boleh makan tu tak boleh makan ni eh sakitlah, tak boleh makan tu tak boleh makan ni sakit lah
siapa dia nak macam tu aku pun tak nak, siapa dia nak macam itu aku pun tak nak
betul, betul
obesiti, obisiti
oh obesiti kan sekarang terkenal bukan terkenal apa sebab ya lah dah ramai orang makan ramai orang makan banyak benda lepas tu kena obesiti, abisiti sekarang terkenal bukan terkenal apa sebab ramai orang makan banyak benda pasukan abisiti
betul, betul
betul, betul
tapi kita kena jagalah, jangan pergi ke jangkirnya
hm em, hmm hmm
sekarang ni kan, mari kita pergi ke sana
kesihatan kita memang [UNK] kita kena jaga kita pergi sekolah kita kena, kasiatan kita memang kita kena jaga kita pergi sekolah pun kena
check suhu, jai suhu
sebab kesihatan kan keselamatan kita sebab kita tak tahu pun er macam mana virus tersebar [UNK] kawan kita kena ke tak kita tak tahu kan [UNK], sebab kesiatan keselamatan kita sebab kita tak tahu pun macam mana virus itu tersebar kawan kita kena ketak kita tak tahu kan
apa dia, ambil
oh, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
siapa tak berdebar aku pun berdebar, saya boleh tak berdebar aku pun boleh berdebar
hm, hmm
apa benda, abang berniat
tinggi, tinggi
suhu pernah sekali, so benda sekali
tiga enam point sembilan, 369
[UNK] ah paling tinggi [UNK] ah pernah check suhu satu masa tu kat sekolah aku datang lambat kan Cikgu Fadhli Fadhli Cikgu Fadhli check suhu tiga puluh lapan point satu, mas apa yang tinggi pernah cik suhu satu mas satu ke sekolah aku datang nambat kan cikgu fadli cikgu fadli cik suhu 381
tapi tu mungkin rosak kot dia punya temperature kan, tapi itu mungkin rosak kuk dia punya temperatif kan
tak aku buat lagi satu kan baru dapat suhu betul yang tiga puluh enam point empat, dan aku buat lagi satu baru dapat suhu betul yang 364
seram weh, sera mi
ha ah, uh uh
tapi, sampai jumpa lagi
hm, ya
ya ya tak macam satu je negara kita semua kena, ya tak macam satu je negara kita semua kena
pernah kan, benar kan
tak ada semua kena, takde semua kena
semua kena tapi tapi ada yang baik ada yang ma- macam merebak, semua kena tapi ada yang baik ada yang makin meribat
