reference,whisper_small_prediction,whisper_large_v3_prediction,whisper_small_process_time,whisper_large_v3_process_time
ah dia punya mee tu daripada tepung,ah dia punya mee tu daripada tepung,ah dia punya mie tu daripada tepung,1.5795466899871826,4.268297910690308
daripada tepung beras,daripada tepung beras,dia ada tepung beras,1.2474353313446045,2.4865622520446777
beras lepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,pembarang sepas tu dia punya kuah tu pakai ikan,1.8335297107696533,4.107619762420654
ah [UNK] orang pakai ikan tongkol ikan tenggiri,ha Tong- orang pakai ikan Tongkol ikan Tenggiri,ah tong orang pakai ikan tongkol jatuh giri,2.8549411296844482,3.9398672580718994
ah lepas tu kalau nak,ah lepas tu kalau nak,ha lepas tu kalau nak,1.0358774662017822,2.066408395767212
hiasan hiasan dia bahan bahan dia,hiasan hiasan dia bahan bahan dia,hiasan hiasan dia bahan-bahan dia,1.719651699066162,4.022563457489014
kau boleh lah letak telur rebus,kau boleh lah letak telur rebus,kau bolehlah letak telur rebus,2.1861026287078857,3.0068323612213135
kau letak cili padi lepas tu letak timun,kau letak cili padi lepas tu letak timun,kalau tak cili padi pasal tak timun,2.0633292198181152,3.408621311187744
ni sedap,ni sedap,ni sedap,0.6958904266357422,1.6303975582122803
okey bahan bahan lain,okey bahan bahan lain,oke bahan-bahan lah ahin,1.5115816593170166,3.173190116882324
kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,1.3819351196289062,2.7251996994018555
kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,1.6133451461791992,3.3705077171325684
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,boleh lah pilih mana mana Ikan Tongkui Ikan Tenggiri,boleh lah pilih mana ikan tongkoy ikan teri dan,3.4149816036224365,4.530781269073486
macam macam lagi ah ada lagi banyak,macam macam lagi ah ada lagi banyak,macam-macam lagi lah ada lagi banyak,1.2614281177520752,2.9461519718170166
tapi aku tak ingat,tapi aku tak ingat,tapi aku tak ingat,1.0859827995300293,2.783789873123169
lepas tu ada letak cili,lepas tu ada letak cili,lalu tu ada letak sini,1.6241340637207031,2.2917284965515137
ada letak asam rebus,ada letak asam rebus,ada letak asam rebus,1.1270122528076172,2.2168092727661133
ada letak,ada letak,adalah tak,0.6712174415588379,1.374577522277832
Bunga Kantan,Bunga Kantan,munga kantan,0.9058759212493896,2.120814323425293
sedap tu,sedap tu,dap tu,0.8766603469848633,1.9589357376098633
ha ah,ha ah,ah ah,0.5351436138153076,1.1470658779144287
lepas tu,lepas tu,lepas tu,0.6604299545288086,1.3654048442840576
kalau,kalau,kalau,0.5456068515777588,1.128720998764038
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah,dia punya macam cara makan dia kau tinggal gaul-gaul je lah,dia punya macam cara makan dia kot tinggal gaul gaul je lah,2.310042381286621,5.098888874053955
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,lagi laksa ni ada dua tau lagi satu laksa yang laksa Johor macam aku kurang minat,3.8524560928344727,6.559997320175171
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mie tu dia pakai spaghetti punya,2.6823501586914062,5.093217372894287
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,2.005659580230713,3.9054932594299316
em,hm,um,0.4563102722167969,0.9527831077575684
tak lah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,taklah banyak sangat cuma dia punya beza mi dengan kuah je,2.5400078296661377,4.413086414337158
kuah laksa Laksa Penang,kuah laksa Laksa Penang,kuah laksa laksa Penang,1.496675729751587,2.9447059631347656
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cari-cari sikit kalau kuah laksa Johor dia pekat,2.734956741333008,6.606952428817749
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu me dia orang kan lain-lain me dia orang kalau tak se penan pakai aa,2.908517360687256,5.731119632720947
tepung beras kalau Laksa Johor pakai spaghetti,tepung beras kalau Laksa Johor pakai spaghetti,taupun beras kalau laksa Johor pakai spaghetti,2.582925796508789,3.4321892261505127
sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,1.4062483310699463,2.688971996307373
lepas tu pakai timun,lepas tu pakai timun,pasal pakai timun,1.00309419631958,1.995131015777588
lepas tu letak salad-salad sikit lah,lepas tu letak salad-salad sikit lah,asal dia tak salah-salah sikit lah,2.3141355514526367,3.5301387310028076
[UNK] banyak betul,makanan panam mas oh banyak betul,makan lepas-lepas oh banyak betul,1.3660662174224854,3.1508584022521973
em,um,em,0.449082612991333,0.9332590103149414
ada,ada,ada,0.44507908821105957,0.9186863899230957
lontong lontong,lontong lontong,lontong lontong,1.1939573287963867,2.8375442028045654
lontong,lontong,untung,0.8087968826293945,1.191187858581543
ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,1.4774224758148193,2.9167861938476562
ah dia kita ah goreng dia lah,ah dia kita ah goreng dia lah,ah dia kereta ah goreng dia lah,1.4027647972106934,3.0567126274108887
lain kalau lontong kering tu goreng gor-goreng dia,lain kalau lontong kering tu goreng goreng dia,lan kalau lontong kering tu goreng goreng dia,2.9867746829986572,4.2637083530426025
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,2.8118176460266113,6.058183670043945
kuah lemak kot tak silap,kuah lemak kot tak silap,kuala mak kot tak silap,1.8240575790405273,2.531909465789795
lepas tu,lepas tu,lepas tu,0.6771430969238281,1.3977952003479004
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada tak faham macam-macam bahan lah dalam kuah dalam kuah dia tu,2.845984697341919,6.81121563911438
ah ada letak,ah ada letak,ah ada letak,0.8518276214599609,1.633023738861084
em,hm,em,0.43097591400146484,0.9450490474700928
oh dia letak,oh dia letak,oh dia letak,0.7685861587524414,1.611626386642456
serbuk kunyit kot tak silap,serbuk kunyit kot tak silap,sabuk kunyit kau tak silap,1.4439303874969482,3.090047836303711
letak serbuk kunyit,letak serbuk kunyit,tak sebab kunyit,1.6932153701782227,2.630070447921753
lepas tu,lepas tu,lepas tu,0.6843850612640381,1.4082722663879395
letak santan,letak santan,tak santan,0.7727124691009521,1.3804914951324463
er umh,ah ah,ah ha um,0.5331053733825684,1.3601312637329102
hm,hm,hmm,0.43775367736816406,0.9669034481048584
wah,oh,ha,0.4338223934173584,0.9389615058898926
wah yang mi goreng mi goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,wah yang mie goreng mie goreng basah kan sedapnya,2.792530059814453,4.770584344863892
mihun goreng,mihun goreng,mihun kuring,0.9167625904083252,1.6192944049835205
dia punya bahan-bahan dia,dia punya bahan bahan dia,dia punya bahan-bahan dia,1.2529258728027344,2.6663079261779785
em,hm,hmm,0.44849133491516113,1.1848232746124268
oh,ah,ah,0.5884888172149658,1.2752118110656738
dia punya cara-cara nak masak dia macam mana pula,dia punya cara-cara nak masak dia macam mana pula,dia punya cara cara nak masak dia macam mana pula,2.2817835807800293,3.624063491821289
ah,ah,ah,0.44379305839538574,0.9379761219024658
dia punya,dia punya,dia punya,0.6562221050262451,1.3745918273925781
cara-cara hidang dia macam gitu je lah,cara-cara hidang dia macam gitu je lah,cara cara hidang dia macam gitu je lah,1.805844783782959,4.078078031539917
eh,eh,eh,0.4564805030822754,0.9503653049468994
um,hm,em,0.4281618595123291,0.9237282276153564
ah,ah,ah,0.4337761402130127,0.9330477714538574
sedapnya,sedapnya,ketuk ni,0.6679768562316895,1.3706889152526855
lepas tu contoh makanan lain,lepas tu contoh makanan lain,saya rasa contoh makanan lain,1.2459003925323486,2.484670639038086
ah,ah,ah,0.6039867401123047,1.1856045722961426
rendang,rendang,rendang,0.7491657733917236,1.5961048603057861
ren,and,bent,0.48053669929504395,1.142120599746704
dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time hari raya je ke,1.7962367534637451,3.6249403953552246
em lepas tu and then,ah lepas tu and then,ah lepas tu and then,1.0329957008361816,2.0605993270874023
hm,hm,hmm,0.588714599609375,1.1856436729431152
lepas tu makanan-makanan lain yang kau suggest kan,lepas tu makanan-makanan lain yang kau suggest kan,ah so makanan makanan lain yang kau suggest kan,2.4922540187835693,3.162553310394287
mi kari,mi kari,mika hari,0.686593770980835,1.3697383403778076
mi kari tu macam mana,mi kari tu macam mana,mereka hari tu macam mana,1.017472505569458,2.251565933227539
yang spaghetti,mi spaghetti,mai spaghetti,0.5602071285247803,1.6724858283996582
bukan,bukan,bukan,0.7141983509063721,1.60469388961792
bukan yang mi kuning biasa ke,bukan yang mi kuning biasa ke,pakai mekon yang biasa ke,1.5083796977996826,2.5252482891082764
lagi sedap,lagi sedap,lagi sedap,0.7748472690582275,1.600219964981079
kenapa rasa dia lain ke,kenapa rasa dia lain ke,kenapa rasa dia lain ke,1.0152974128723145,2.0596041679382324
oh,oh,ah,0.42144274711608887,1.082505226135254
so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,1.6422972679138184,2.965189218521118
aku nak makan,aku nak makan,takut nak makan,0.6805355548858643,1.5766122341156006
ah,ah,ah,0.4427917003631592,0.9253060817718506
nasi ah bukan nasi,nasi ah bukan nasi,nas ah bukan nasi,1.0073089599609375,1.7966372966766357
em ayam masak merah,em ayam masak merah,um ayam masak merah,1.1065564155578613,2.681074619293213
sedap sedap sangat,sedap sedap sangat,sedap sedap sangat,1.2597665786743164,2.2381176948547363
ah ah tu,ah ah tu,ah ah ah ah ah,0.6700880527496338,1.8093252182006836
[UNK] aku macam kalau time hari raya,le-le-aku macam tahu time hari raya,pas apa macam setengah petang hari raya,1.5756115913391113,3.1585757732391357
aku selalu makan,aku selalu makan,aku selalu makan,0.7930343151092529,1.7980866432189941
tu je ayam masak merah je,tu je ayam masak merah je,tu je ayam masak merah je,1.7725937366485596,3.17069673538208
boleh,boleh,boleh,0.5643777847290039,1.1689534187316895
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi empit pun sedap juga makan dengan nasi pun sedap juga,2.4928503036499023,5.182922601699829
yang ketupat punya sedap,yang ketupat pun sedap,dengan ketupat pun sedap,1.5649030208587646,2.8946762084960938
em makanan sekejap eh aku fikir,hm makanan sekejap eh aku fikir,hmm makanan sekejap ah kopi kek,1.5746772289276123,3.33711838722229
ah apa kan,ah apa kan,ah apa kan,0.6898963451385498,1.3837988376617432
luar negara,luar negara,keluar negara,0.7573144435882568,2.213106393814087
hm,hm,hmm,0.5743875503540039,1.3324472904205322
ramai lah ramen,ramai lah ramen,ramen lah ramen,0.9112963676452637,1.6167888641357422
ha,ah,ah,0.4200475215911865,0.9349160194396973
aku suka ramen yang samyang tu,aku suka ramen yang samyang tu,suka ramai yang samyang tu,1.109220027923584,2.4817469120025635
yang original punya yang pedas,yang original punya yang pedas,yang original punya yang pedas,1.0169415473937988,2.0870723724365234
em kalau aku suka pedas pedas tak suka yang bercheese,hm kalau aku suka pedas pedas tak suka yang bercheese,hmm kalau aku suka pedas tak suka yang pecis,2.6931912899017334,3.409424066543579
cheese kalau aku makan cheese,cheese kalau aku makan cheese,cis kalau aku makan cis,1.038583755493164,1.8173017501831055
pening kepala,pening kepala,pening kepala,0.7735950946807861,1.5884592533111572
sushi,sushi,cuci,0.5391483306884766,1.1609163284301758
kenapa,kenapa,kenapa,0.5673363208770752,1.4849920272827148
ah lepas tu,ah lepas tu,ah lepas tu,1.0700786113739014,2.077598810195923
ah,ah,ah,0.4316127300262451,0.9503121376037598
makanan lain,makanan lain,makanan lain,0.654210090637207,1.3669860363006592
hm kalau aku aku kalau makanan luar negara,hm kalau aku aku kalau makanan luar negara,hmm kalau aku aku kalau makanan luar negara,1.5730185508728027,3.132842779159546
aku selalu makan,aku selalu makan,aku selalu makan,0.8030331134796143,1.9395184516906738
ah ori ori onigiri itu,ah ori ori ori giri gitu,ah Ori Ori Ori Geri tu,2.026294469833374,2.345028877258301
onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,oligiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,oligari yang ah dia dia pulut segi tiga pulut segi tiga dalam tu adalah ah kalau kat luar,3.6078598499298096,7.698063373565674
ada yang,ada yang,ada yang,0.8027315139770508,1.2185299396514893
letak lobster,letak lobster,letak lobster,0.6583929061889648,1.3667571544647217
ah letak ayam letak tuna,ah letak ayam letak tuna,kalau tak ayah kalau tak tunang,1.2508070468902588,2.680695056915283
memang sedap,bagi sedap,biasa sedap,0.7806558609008789,1.8069121837615967
ah dia onigiri tu ada dalam bentuk segi tiga je,ah dia onigiri tu ada dalam betul segi tiga je,ha dia hari-hari tu ada dalam betul segi tiga je,2.6067757606506348,4.884819030761719
sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap,sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap,punya kat Malaysia ni ada banyak lagi makanan sedap,1.966658115386963,3.391900062561035
ah contoh dia macam,ah contoh dia macam,ah contoh dia macam,0.9181849956512451,2.1771764755249023
ah,ah,ah,0.5741660594940186,1.3581006526947021
contohnya,santanya,jantanya,0.7484729290008545,1.3703646659851074
em,um,um,0.4386107921600342,0.925361156463623
nasi goreng pataya,nasi goreng pataya,nasik korang patah aya,1.1177349090576172,2.48958683013916
ah ah di-dia balut dengan telur,ha ah di-dia balut dengan telur,ah ah dia balut dengan telur,1.5877554416656494,2.8116798400878906
dengan te- dengan dengan bat- telur dadar,dengan te- dengan dengan bat- telur dadar,dengan dengan lebat telur dadah,2.446096420288086,2.758573055267334
ha ah dia letak sos,ha ah dia letak sos,ha dia letak sos,1.0191314220428467,1.811265230178833
kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak,kalau letak sos- macam macam lah dia letak ada buat macam bentuk corak,kalau tak macam-macam lah dia tak ada buat macam bentuk corak,2.513046979904175,5.424750804901123
bentuk macam macam lah,bentuk macam macam lah,untuk macam-macam lah,1.167485237121582,2.2744762897491455
em,um,em,0.43691134452819824,0.9423174858093262
makanan paling famous la eh aku nak makan,makanan paling famous la eh aku nak makan,makanan paling famous lah eh aku nak makan,1.3367526531219482,2.683302402496338
aku nak makan,aku nak makan,aku nak makan,0.7187669277191162,1.6126384735107422
mi rebus,mi rebus,mi rebus,0.8602943420410156,1.9092748165130615
ha ah,ha ah,ah ah,0.6836926937103271,1.1569273471832275
ah ah,ha ah,ah ah,0.5325686931610107,1.1488091945648193
betul,tu,tu,0.42629361152648926,0.924152135848999
sedap ah ada yang mi rebus letak daging,sedap ah ada yang mi rebus letak daging,sedap ah ada yang mie rebus letak daging,1.6883752346038818,3.3572041988372803
letak daging hm,letak daging hm,letak daki,1.0818605422973633,2.1636831760406494
ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,ha tu macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,ha cuma macam ada sesetengah orang kan ada allergic dengan udang so dia orang tak boleh makan so ha ada orang orang buat,4.075372219085693,6.794977188110352
mi rebus daging,mi rebus daging,mirabu steking,1.1647334098815918,2.592665195465088
rasa dia pun lebih kurang juga sedap juga,rasa dia pun lebih kurang juga sedap juga,rasa dia pun lebih kurang juga sedap juga,1.6566479206085205,3.139028549194336
nasi ayam makan apa tu,nasi ayam makan apa tu,pasal ayam bukan apa tu,1.146341323852539,2.2478299140930176
hm,hm,hmm,0.44413232803344727,0.9607436656951904
oh,ah,ah,0.4231700897216797,1.178891897201538
ha weh ah aku dah nak kena pergi bye,ha weh ah aku dah nak kena pergi bye,ah wait ah aku dah nak kena pergi bye,2.207430124282837,3.068930149078369
bye mak,bye mak,mari muah,0.579796314239502,1.5923199653625488
hai,hai,hai,0.4369654655456543,0.9364867210388184
um bila je,um bila je,um dulu je,0.7696743011474609,1.365412712097168
je,ya,ya,0.42484402656555176,0.9293687343597412
um tahu,um tahu,hmm tahu,0.5993742942810059,1.4637930393218994
ah,ah,ah,0.573033332824707,1.2993738651275635
hm,hm,um,0.530717134475708,0.9638476371765137
tak ada lagi,tak ada lagi,tak ada lagi,0.6553971767425537,1.3632118701934814
um,hm,hmm,0.4321575164794922,0.9168486595153809
um hm um,hm hm,hmm,0.5473964214324951,0.9364762306213379
kalau aku tahu pasal,kalau aku tahu pasal,kalau aku tahu pasal,0.9980602264404297,2.0270800590515137
pasal beraya ni aku tahu macam,pasal beraya ni aku tahu macam,pasal belaya ni aku tahu macam,1.3582806587219238,3.459073781967163
orang Islam la pasal tudung,orang Islam la pasal tudung,orang Islam lah pasal tudung,1.2308051586151123,2.2603182792663574
pakaian tudung dia lah,pakaian tudung dia lah,pakaian tudung dia lah,1.1375954151153564,2.2456610202789307
um sebab,hm sebab,hmm sebab,0.6772327423095703,1.3904459476470947
[UNK] pada dua ribu tiga belas,ma pada dua ribu tiga belas,mah pada 2013,1.3762915134429932,2.078679323196411
ah kebanyakkan wanita Melayu Malaysia pakai tudung,ah kebanyakkan wanita Melayu Malaysia pakai tudung,ah kebanyakan wanita Melayu Malaysia pakai tudung,2.460716724395752,3.8767426013946533
kegunaan tudung ni,punan tudung ni,punan tudung ni,1.0416297912597656,2.0532636642456055
tak biasa sebelum [UNK] Iran semasa sembilan belas tujuh puluh sembilan,tak biasa sebelum ribadisi Iran semasa sembilan belas tujuh puluh sembilan,kat biasa sebelum revalusi Iran semasa 1979,3.259357452392578,4.4383721351623535
dan tempat tempat yang mempunyai wanita di tudung,dan tempat tempat yang mempunyai wanita di tudung,dan tempat-tempat yang mempunyai wanita ditudung,2.1900789737701416,4.515441656112671
cenderung menjadi kawasan pendalaman,cenderung menjadi kawasan pendalaman,cenderung menjadi kawasan pendalaman,1.4928984642028809,4.020174264907837
penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,pergunaan tudung semakin meningkat selepas tahun 1970an,3.237544298171997,4.110267639160156
ketika konservatisme,ketika konservatisme,ketika konservatisme,1.0309505462646484,2.1125686168670654
agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,3.1341302394866943,4.60500168800354
beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluhan,2.9101696014404297,6.289301872253418
percaya bahawa hijab bukan satu mandatori,percaya bahawa hijab bukan satu mandatori,percaya bahawa hijab bukan satu mandatory,1.9308700561523438,2.928136110305786
menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,menjelang 2015 ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,3.617788553237915,6.732210397720337
pada tahun sama Malaysia mempunyai,pada tahun sama Malaysia mempunyai,pada tahun sama Malaysia mempunyai,1.4876444339752197,2.9278969764709473
industri fesyen berkaitan tudung,industri fesyen berkaitan tudung,industri fashion berkaitan tudung,1.5903210639953613,2.6933960914611816
masyarakat Melayu Malaysia mempunyai,masyarakat Melayu Malaysia mempunyai,masyarakat Melayu Malaysia mempunyai,2.1247103214263916,4.522706985473633
reaksi negatif terhadap wanita Muslim yang tidak memakai tudung,diaksi negatif terhadap wanita muslim yang tidak memakai tudung,yaksin negatif terhadap wanita muslim yang tidak memakan tudung,2.530254602432251,4.712899446487427
ha so tu je lah pasal,ha so tu je lah pasal,ah so tu je lah pasal,1.2049906253814697,3.04154634475708
pasal tudung yang pasal budaya tudung yang aku tahu,pasal tudung yang pasal budaya tudung yang aku tahu,pasal tuduh yang pasal budaya tuduh yang aku tahu,2.206923007965088,3.8864498138427734
selain daripada tu banyak lah lagi,selain daripada tu banyaklah lagi,selain daripada tu banyaklah lagi,1.3752903938293457,2.746882677078247
macam sukan,macam sukan,macam sukan,0.8938872814178467,2.1278319358825684
dia orang,dia orang,diorang,0.9902760982513428,1.4233283996582031
ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,ah tu lah kebanyakan tak pakai tu yang macam injak dia macam suka sari atas kepala dia,3.0988035202026367,6.184945344924927
um macam Cina dia suka macam,um macam Cina dia suka macam,hmm macam Cina dia suka macam,1.495481252670288,3.0107860565185547
sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la,sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la,sepit-sepit macam cucu cucu dia simpul rambut dia ha macam tu lah,2.789102554321289,5.627587080001831
Zapin,Zapin,Zapin,0.6804294586181641,1.7733900547027588
um um,em em,um um,0.7215714454650879,1.607079029083252
ha aku pernah lah masuk,ha aku pernah lah masuk,ha aku pernah lah masuk,0.8902506828308105,1.8005340099334717
tak ah dekat sekolah aku,tak ah dekat sekolah aku,ah kat sekolah aku,1.2203006744384766,2.0494847297668457
masuk kelab budaya so aku memang,masuk kelab budaya so aku memang,masuk kelab budaya so aku memang,1.3313684463500977,2.6662659645080566
ha ada pengalaman Zapin la dekat sekolah,ha ada pengalaman Zapin la dekat sekolah,ah ada pengalaman zapin lah dekat sekolah,2.403477668762207,4.158657789230347
so memang,so memang,so memang,0.5710828304290771,1.174307107925415
um boleh lah sebab aku memang minat menari,um boleh lah sebab aku memang minat menari,em bolehlah sebab aku memang minat menari,1.5770413875579834,3.1277015209198
so zapin je yang ada so memang aku masuk zapin ah,so zapin je yang ada so memang aku masuk zapin ah,so zafin je yang ada so memang aku masuk zafin lah,2.078847646713257,5.0558812618255615
dia punya tarian tu memang,dia punya tarian tu memang,dia punya tarian tu memang,1.1759402751922607,2.268649101257324
kena lembut,kena lembut,kena lembut,0.7776851654052734,1.5968363285064697
lepas tu ada step step yang,lepas tu ada step step yang,lepas tu ada step-step yang,1.0984323024749756,2.838059663772583
susah yang kena laju so memang kau kena,susah yang kena laju so memang kau kena,susah yang kena laju so memang kau kena,2.567305564880371,3.7060904502868652
cepat pick up,cepat pika,cepat pick up,0.8156063556671143,1.5947813987731934
hm,hm,hmm,0.43161606788635254,0.9281580448150635
hm,hm,em,0.4164276123046875,0.92928147315979
um,hm,em,0.4281046390533447,0.9204418659210205
um hm,hm,hmm,0.548642635345459,1.1740052700042725
kalau aku aku suka,kalau aku aku suka,kala aku aku suka,1.254927158355713,2.235560655593872
macam,macam,macam,0.5573468208312988,1.154646873474121
Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,serawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,3.1961381435394287,7.379538297653198
sebab cantik,sebab cantik,sebab cantik,0.9556014537811279,1.6368632316589355
um hm,eh em,eh eh,0.5392367839813232,1.1444971561431885
ha ah,ah,ah,0.45112156867980957,0.9275438785552979
ke,ke,ke,0.41674256324768066,0.9417209625244141
