reference,whisper_small_prediction_3,whisper_large_v3_prediction_3,whisper_small_prediction_20,whisper_large_v3_prediction_20,whisper_small_process_time_3,whisper_large_v3_process_time_3,whisper_small_process_time_20,whisper_large_v3_process_time_20
beras lepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,pembarang sepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,1.833529710769653,4.107619762420654,1.7313861846923828,3.484036922454834
ah [UNK] orang pakai ikan tongkol ikan tenggiri,ha Tong- orang pakai ikan Tongkol ikan Tenggiri,ah tong orang pakai ikan tongkol jatuh giri,ah tong- orang pakai ikan tongkol ikan tenggiri,ah tong- orang pakai ikan tongkol jatung kiri,2.854941129684448,3.9398672580718994,1.8582847118377688,3.7128384113311768
ah lepas tu kalau nak,ah lepas tu kalau nak,ha lepas tu kalau nak,ah lepas tu kalau nak,ha lepas tu kalau nak,1.0358774662017822,2.066408395767212,0.9767251014709472,2.3351004123687744
hiasan hiasan dia bahan bahan dia,hiasan hiasan dia bahan bahan dia,hiasan hiasan dia bahan-bahan dia,hiasan hiasan dia bahan bahan dia,hiasan hiasan ni bahan bahan dia,1.719651699066162,4.022563457489014,1.62131667137146,4.0569748878479
kau boleh lah letak telur rebus,kau boleh lah letak telur rebus,kau bolehlah letak telur rebus,kau boleh lah letak telur rebus,kau boleh lah letak telur rebus,2.1861026287078857,3.006832361221313,1.8513851165771484,2.8392226696014404
kau letak cili padi lepas tu letak timun,kau letak cili padi lepas tu letak timun,kalau tak cili padi pasal tak timun,kau letak cili padi lepas tu letak timun,kalau letak cili padi lepas tu letak timun,2.0633292198181152,3.408621311187744,3.549140691757202,4.182514429092407
ni sedap,ni sedap,ni sedap,ni sedap,ni sedap,0.6958904266357422,1.6303975582122805,0.6577432155609131,1.3738563060760498
okey bahan bahan lain,okey bahan bahan lain,oke bahan-bahan lah ahin,okey bahan bahan lain,okey bahan-bahan lain,1.5115816593170166,3.173190116882324,1.0536651611328125,3.278978109359741
kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,1.3819351196289062,2.7251996994018555,1.31764554977417,2.7116854190826416
kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,1.6133451461791992,3.3705077171325684,1.544105052947998,3.0894598960876465
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,boleh lah pilih mana mana Ikan Tongkui Ikan Tenggiri,boleh lah pilih mana ikan tongkoy ikan teri dan,boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,boleh lah pilih mana ikan tongkoh ikan teri dan,3.4149816036224365,4.530781269073486,2.306417226791382,4.298165798187256
macam macam lagi ah ada lagi banyak,macam macam lagi ah ada lagi banyak,macam-macam lagi lah ada lagi banyak,macam macam lagi ah ada lagi banyak,macam-macam lagi ah ada lagi banyak,1.2614281177520752,2.9461519718170166,1.2311978340148926,6.880876302719116
tapi aku tak ingat,tapi aku tak ingat,tapi aku tak ingat,tapi aku tak ingat,tapi aku tak ingat,1.0859827995300293,2.783789873123169,0.9847700595855712,2.934843778610229
lepas tu ada letak cili,lepas tu ada letak cili,lalu tu ada letak sini,lepas tu ada letak cili,lepas tu ada letak cili,1.6241340637207031,2.2917284965515137,1.576242446899414,2.9199554920196533
ada letak asam rebus,ada letak asam rebus,ada letak asam rebus,ada letak asam rebus,ada letak asam rebus,1.1270122528076172,2.2168092727661133,1.577631950378418,2.181380271911621
ada letak,ada letak,adalah tak,ada letak,ada letak,0.6712174415588379,1.374577522277832,0.8504064083099365,1.7061128616333008
Bunga Kantan,Bunga Kantan,munga kantan,Bunga Kantan,Bunga Kantan,0.9058759212493896,2.120814323425293,0.9064853191375732,2.2668120861053467
sedap tu,sedap tu,dap tu,sedap tu,sedap tu,0.8766603469848633,1.9589357376098635,0.6492209434509277,1.330538988113403
ha ah,ha ah,ah ah,ha ah,ha ah,0.5351436138153076,1.1470658779144287,0.5278456211090088,1.081552267074585
lepas tu,lepas tu,lepas tu,lepas tu,lepas tu,0.6604299545288086,1.3654048442840576,0.624157190322876,1.318702220916748
kalau,kalau,kalau,kalau,kalau,0.5456068515777588,1.128720998764038,0.548133373260498,1.085176706314087
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah,dia punya macam cara makan dia kau tinggal gaul-gaul je lah,dia punya macam cara makan dia kot tinggal gaul gaul je lah,dia punya car-cara makan dia kau tinggal gaul-gaul je lah,dia punya cara cara makan dia kau tinggal gaul gaul je lah,2.310042381286621,5.098888874053955,2.4270577430725098,4.0822343826293945
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,lagi laksa ni ada dua tau lagi satu laksa yang laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,3.8524560928344727,6.559997320175171,3.2279086112976074,7.444546461105347
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mie tu dia pakai spaghetti punya,ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mi tu dia pakai spaghetti punya,2.6823501586914062,5.093217372894287,2.603243827819824,4.188987731933594
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,2.005659580230713,3.905493259429932,2.512426376342773,4.142226696014404
em,hm,um,hm,um,0.4563102722167969,0.9527831077575684,0.4442441463470459,1.2613165378570557
tak lah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,taklah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,2.5400078296661377,4.413086414337158,1.8677191734313965,3.803953170776367
kuah laksa Laksa Penang,kuah laksa Laksa Penang,kuah laksa laksa Penang,kuah laksa Laksa Penang,kuah laksa Laksa Penang,1.496675729751587,2.9447059631347656,1.392594575881958,2.801745891571045
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cari-cari sikit kalau kuah laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah laksa Johor dia pekat,2.734956741333008,6.606952428817749,2.6358914375305176,5.635246276855469
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu me dia orang kan lain-lain me dia orang kalau tak se penan pakai aa,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,2.908517360687256,5.731119632720947,2.815437078475952,6.143608331680298
tepung beras kalau Laksa Johor pakai spaghetti,tepung beras kalau Laksa Johor pakai spaghetti,taupun beras kalau laksa Johor pakai spaghetti,tepung beras kalau Laksa Johor pakai spaghetti,tapung beras kalau Laksa Johor pakai spaghetti,2.582925796508789,3.4321892261505127,2.3064064979553223,3.5103964805603027
sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,1.4062483310699463,2.688971996307373,1.894466638565064,2.628868579864502
lepas tu pakai timun,lepas tu pakai timun,pasal pakai timun,lepas tu pakai timun,lepas tu pakai timun,1.00309419631958,1.995131015777588,1.0752718448638916,2.674000740051269
lepas tu letak salad-salad sikit lah,lepas tu letak salad-salad sikit lah,asal dia tak salah-salah sikit lah,lepas tu letak salad-salad sikit lah,lepas tu letak salad salad sikit lah,2.3141355514526367,3.530138731002808,1.618400812149048,3.0912582874298096
[UNK] banyak betul,makanan panam mas oh banyak betul,makan lepas-lepas oh banyak betul,Niokan banyak mas oh banyak betul,makan lepas lemes oh banyak betul,1.3660662174224854,3.1508584022521973,1.4024193286895752,2.828065872192383
em,um,em,em,em,0.449082612991333,0.9332590103149414,0.4384512901306152,0.913930892944336
ada,ada,ada,ada,ada,0.4450790882110595,0.9186863899230956,0.4376335144042969,0.8852701187133789
lontong lontong,lontong lontong,lontong lontong,lontong lontong,lontong lontong,1.1939573287963867,2.837544202804565,0.988088846206665,1.9360361099243164
lontong,lontong,untung,lontong,lontong,0.8087968826293945,1.191187858581543,0.6231777667999268,1.296039342880249
ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,ya ah ya ya kalau lontong kering tu,1.4774224758148191,2.916786193847656,1.3922276496887207,3.9980506896972656
ah dia kita ah goreng dia lah,ah dia kita ah goreng dia lah,ah dia kereta ah goreng dia lah,ah dia kita ah goreng dia lah,ah dia kita ah goreng dia lah,1.4027647972106934,3.0567126274108887,1.30230712890625,2.632908344268799
lain kalau lontong kering tu goreng gor-goreng dia,lain kalau lontong kering tu goreng goreng dia,lan kalau lontong kering tu goreng goreng dia,lain kalau lontong kering tu goreng gor-goreng dia,la kalau lontong kering tu goreng gore- goreng dia,2.986774682998657,4.2637083530426025,2.765976667404175,4.551743745803833
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,2.811817646026612,6.058183670043945,3.366434335708618,6.32938814163208
kuah lemak kot tak silap,kuah lemak kot tak silap,kuala mak kot tak silap,kuah lemak kot tak silap,kuah lemak kot tak silap,1.824057579040528,2.531909465789795,1.2384564876556396,2.4451828002929688
lepas tu,lepas tu,lepas tu,lepas tu,lepas tu,0.6771430969238281,1.3977952003479004,0.6527237892150879,1.3428809642791748
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada tak faham macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,2.845984697341919,6.81121563911438,2.771218776702881,5.3707146644592285
ah ada letak,ah ada letak,ah ada letak,ah ada letak,ah ada letak,0.8518276214599609,1.633023738861084,0.7770736217498779,2.0147852897644043
em,hm,em,em,em,0.4309759140014648,0.9450490474700928,0.4160804748535156,1.221825122833252
oh dia letak,oh dia letak,oh dia letak,oh dia letak,oh dia letak,0.7685861587524414,1.611626386642456,0.7605681419372559,1.810018539428711
serbuk kunyit kot tak silap,serbuk kunyit kot tak silap,sabuk kunyit kau tak silap,serbuk kunyit kot tak silap,sabuk kunyit kau tak silap,1.4439303874969482,3.090047836303711,1.4066030979156494,2.8264591693878174
letak serbuk kunyit,letak serbuk kunyit,tak sebab kunyit,letak serbuk kunyit,tak sebut kunyit,1.6932153701782229,2.630070447921753,1.3305349349975586,1.9702959060668943
lepas tu,lepas tu,lepas tu,lepas tu,lepas tu,0.6843850612640381,1.4082722663879397,0.8234007358551025,1.2889609336853027
letak santan,letak santan,tak santan,letak santan,letak santan,0.7727124691009521,1.3804914951324463,1.0470666885375977,1.5279498100280762
er umh,ah ah,ah ha um,er umh,ha ha um,0.5331053733825684,1.3601312637329102,0.9139466285705566,1.3191304206848145
hm,hm,hmm,hm,hm,0.437753677368164,0.9669034481048584,0.6082987785339355,1.1073346138000488
wah,oh,ha,wah,ha,0.4338223934173584,0.9389615058898926,0.4925816059112549,1.1078710556030271
wah yang mi goreng mi goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,wah yang mie goreng mie goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,2.792530059814453,4.770584344863892,2.186266660690308,4.562378406524658
mihun goreng,mihun goreng,mihun kuring,mihun goreng,mihun goreng,0.9167625904083252,1.6192944049835205,0.8814280033111572,1.7759449481964111
dia punya bahan-bahan dia,dia punya bahan bahan dia,dia punya bahan-bahan dia,dia punya bahan-bahan dia,dia punya bahan bahan dia,1.2529258728027344,2.6663079261779785,1.2845160961151123,2.3979039192199707
em,hm,hmm,hm,em,0.4484913349151611,1.1848232746124268,0.4226589202880859,0.9245178699493408
oh,ah,ah,ah,ha,0.5884888172149658,1.2752118110656738,0.424156904220581,0.8925032615661621
dia punya cara-cara nak masak dia macam mana pula,dia punya cara-cara nak masak dia macam mana pula,dia punya cara cara nak masak dia macam mana pula,dia punya cara-cara nak masak dia macam mana pula,dia punya cara cara nak masak dia macam mana pula,2.2817835807800293,3.624063491821289,2.0203120708465576,4.535017490386963
ah,ah,ah,ah,ah,0.4437930583953857,0.9379761219024658,0.4285049438476562,0.9496915340423584
dia punya,dia punya,dia punya,dia punya,dia punya,0.6562221050262451,1.374591827392578,0.6514379978179932,1.295304298400879
cara-cara hidang dia macam gitu je lah,cara-cara hidang dia macam gitu je lah,cara cara hidang dia macam gitu je lah,cara-cara hidang dia macam gitu je lah,cara cara hidang dia macam gitu je lah,1.805844783782959,4.078078031539917,1.7393293380737305,2.784934759140014
eh,eh,eh,eh,eh,0.4564805030822754,0.9503653049468994,0.5671646595001221,0.9403076171875
um,hm,em,hm,hm,0.4281618595123291,0.9237282276153564,0.5607671737670898,0.8846292495727539
ah,ah,ah,ah,ah,0.4337761402130127,0.9330477714538574,0.5651805400848389,0.8789615631103516
sedapnya,sedapnya,ketuk ni,sedapnya,sedap ke,0.6679768562316895,1.3706889152526855,0.9316396713256836,1.32279634475708
lepas tu contoh makanan lain,lepas tu contoh makanan lain,saya rasa contoh makanan lain,lepas tu contoh makanan lain,lepas tu contoh makanan lain,1.2459003925323486,2.484670639038086,1.459193468093872,2.9022698402404785
ah,ah,ah,ah,ah,0.6039867401123047,1.1856045722961426,0.4390385150909424,1.2721757888793943
rendang,rendang,rendang,rendang,rendang,0.7491657733917236,1.596104860305786,0.5385739803314209,1.1712548732757568
ren,and,bent,and,Tent,0.4805366992950439,1.142120599746704,0.4276559352874756,1.11942458152771
dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time hari raya je ke,dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time hari raya je ke,1.7962367534637451,3.6249403953552246,1.7645995616912842,3.462042093276977
em lepas tu and then,ah lepas tu and then,ah lepas tu and then,em lepas tu and then,ah lepas tu and then,1.0329957008361816,2.0605993270874023,1.0007305145263672,1.974796295166016
hm,hm,hmm,hm,hm,0.588714599609375,1.1856436729431152,0.4328434467315674,0.8843114376068115
lepas tu makanan-makanan lain yang kau suggest kan,lepas tu makanan-makanan lain yang kau suggest kan,ah so makanan makanan lain yang kau suggest kan,lepas tu makanan-makanan lain yang kau suggest kan,lepas tu makanan makanan lain yang kau suggest kan,2.4922540187835693,3.162553310394287,1.7439448833465576,3.771589756011963
mi kari,mi kari,mika hari,mi kari,mi kari,0.686593770980835,1.3697383403778076,0.6477622985839844,1.884921312332153
mi kari tu macam mana,mi kari tu macam mana,mereka hari tu macam mana,mi kari tu macam mana,mei kari tu macam mana,1.017472505569458,2.251565933227539,0.9963259696960448,2.139404296875
yang spaghetti,mi spaghetti,mai spaghetti,yang spaghetti,mi Spaghetti,0.5602071285247803,1.6724858283996582,0.5460891723632812,1.315315008163452
bukan,bukan,bukan,bukan,bukan,0.7141983509063721,1.60469388961792,0.5405230522155762,1.100691556930542
bukan yang mi kuning biasa ke,bukan yang mi kuning biasa ke,pakai mekon yang biasa ke,bukan yang mi kuning biasa ke,pakai mi kuning biasa ke,1.5083796977996826,2.5252482891082764,1.6807677745819092,2.372951030731201
lagi sedap,lagi sedap,lagi sedap,lagi sedap,lagi sedap,0.7748472690582275,1.600219964981079,1.0695078372955322,1.6067185401916504
kenapa rasa dia lain ke,kenapa rasa dia lain ke,kenapa rasa dia lain ke,kenapa rasa dia lain ke,kenapa rasa dia lain ke,1.0152974128723145,2.0596041679382324,1.433488368988037,2.1698834896087646
oh,oh,ah,oh,oh,0.4214427471160888,1.082505226135254,0.4888956546783447,1.1068415641784668
so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,1.6422972679138184,2.965189218521118,1.2108099460601809,3.039480209350586
aku nak makan,aku nak makan,takut nak makan,aku nak makan,aku nak makan,0.6805355548858643,1.5766122341156006,0.6491856575012207,1.347893476486206
ah,ah,ah,ah,ah,0.4427917003631592,0.9253060817718506,0.4174118041992187,0.9058752059936525
nasi ah bukan nasi,nasi ah bukan nasi,nas ah bukan nasi,nasi ah bukan nasi,nasi ah bukan nasi,1.0073089599609375,1.7966372966766355,0.961949110031128,1.95556902885437
em ayam masak merah,em ayam masak merah,um ayam masak merah,em ayam masak merah,em ayam masak merah,1.106556415557861,2.681074619293213,1.0906927585601809,2.142756700515747
sedap sedap sangat,sedap sedap sangat,sedap sedap sangat,sedap sedap sangat,sedap sedap sangat,1.2597665786743164,2.2381176948547363,0.8614661693572998,1.7549090385437012
ah ah tu,ah ah tu,ah ah ah ah ah,ah ah tu,ah ah tu,0.6700880527496338,1.809325218200684,0.6173453330993652,1.4134674072265625
[UNK] aku macam kalau time hari raya,le-le-aku macam tahu time hari raya,pas apa macam setengah petang hari raya,er se- aku macam kalau time hari raya,lepas aku macam setengah petang hari raya,1.575611591339111,3.158575773239136,1.944101095199585,4.178523063659668
aku selalu makan,aku selalu makan,aku selalu makan,aku selalu makan,aku selalu makan,0.7930343151092529,1.798086643218994,0.8008193969726562,1.5897119045257568
tu je ayam masak merah je,tu je ayam masak merah je,tu je ayam masak merah je,tu je ayam masak merah je,tu je ayam masak merah je,1.7725937366485596,3.17069673538208,1.3816859722137451,2.5526514053344727
boleh,boleh,boleh,boleh,boleh,0.5643777847290039,1.1689534187316897,0.6929404735565186,1.1096365451812744
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi empit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,2.4928503036499023,5.182922601699829,3.3863582611083984,4.989310503005981
yang ketupat punya sedap,yang ketupat pun sedap,dengan ketupat pun sedap,yang ketupat punya sedap,dengan ketupat pun sedap,1.5649030208587646,2.8946762084960938,1.1150877475738523,3.279766321182251
em makanan sekejap eh aku fikir,hm makanan sekejap eh aku fikir,hmm makanan sekejap ah kopi kek,em makanan sekejap eh aku fikir,hm makanan sekejap ah kau fikir,1.5746772289276123,3.33711838722229,1.5037481784820557,3.079758644104004
ah apa kan,ah apa kan,ah apa kan,ah apa kan,ah apa kan,0.6898963451385498,1.3837988376617432,0.6490626335144043,1.3398258686065674
luar negara,luar negara,keluar negara,luar negara,luar negara,0.7573144435882568,2.213106393814087,0.7306509017944336,1.5445330142974854
hm,hm,hmm,hm,hm,0.5743875503540039,1.3324472904205322,0.4028418064117431,0.8785092830657959
ramai lah ramen,ramai lah ramen,ramen lah ramen,ramai lah ramen,ramen lah ramen,0.9112963676452636,1.6167888641357422,0.734443187713623,1.5582282543182373
ha,ah,ah,ah,ah,0.4200475215911865,0.9349160194396972,0.4093079566955566,0.867340087890625
aku suka ramen yang samyang tu,aku suka ramen yang samyang tu,suka ramai yang samyang tu,aku suka ramen yang samyang tu,aku suka ramen yang Samyang tu,1.109220027923584,2.4817469120025635,1.097114324569702,2.823957920074463
yang original punya yang pedas,yang original punya yang pedas,yang original punya yang pedas,yang original punya yang pedas,yang original punya yang pedas,1.0169415473937988,2.0870723724365234,0.9517533779144288,2.3878374099731445
em kalau aku suka pedas pedas tak suka yang bercheese,hm kalau aku suka pedas pedas tak suka yang bercheese,hmm kalau aku suka pedas tak suka yang pecis,em kalau aku suka pedas pedas tak suka yang bercheese,hm kalau aku suka pedas pedas tak suka yang bercheese,2.6931912899017334,3.409424066543579,1.8723042011260984,3.646713733673096
