reference,whisper_large_v3_prediction,whisper_large_v3_process_time
kalau,kalau,1.085176706314087
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah,dia punya cara cara makan dia kau tinggal gaul gaul je lah,4.0822343826293945
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,7.444546461105347
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ha laksa laksa dia dia punya mi tu dia pakai spaghetti punya,4.188987731933594
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,4.142226696014404
em,um,1.2613165378570557
tak lah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,3.803953170776367
kuah laksa Laksa Penang,kuah laksa Laksa Penang,2.801745891571045
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah laksa Johor dia pekat,5.635246276855469
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,6.143608331680298
tepung beras kalau Laksa Johor pakai spaghetti,tapung beras kalau Laksa Johor pakai spaghetti,3.5103964805603027
sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,2.628868579864502
lepas tu pakai timun,lepas tu pakai timun,2.6740007400512695
lepas tu letak salad-salad sikit lah,lepas tu letak salad salad sikit lah,3.0912582874298096
[UNK] banyak betul,makan lepas lemes oh banyak betul,2.828065872192383
em,em,0.9139308929443359
ada,ada,0.8852701187133789
lontong lontong,lontong lontong,1.9360361099243164
lontong,lontong,1.296039342880249
ya ya ya kalau lontong kering tu,ya ah ya ya kalau lontong kering tu,3.9980506896972656
ah dia kita ah goreng dia lah,ah dia kita ah goreng dia lah,2.632908344268799
lain kalau lontong kering tu goreng gor-goreng dia,la kalau lontong kering tu goreng gore- goreng dia,4.551743745803833
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,6.32938814163208
kuah lemak kot tak silap,kuah lemak kot tak silap,2.4451828002929688
lepas tu,lepas tu,1.3428809642791748
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,5.3707146644592285
ah ada letak,ah ada letak,2.0147852897644043
em,em,1.221825122833252
oh dia letak,oh dia letak,1.810018539428711
serbuk kunyit kot tak silap,sabuk kunyit kau tak silap,2.8264591693878174
letak serbuk kunyit,tak sebut kunyit,1.9702959060668945
lepas tu,lepas tu,1.2889609336853027
letak santan,letak santan,1.5279498100280762
er umh,ha ha um,1.3191304206848145
hm,hm,1.1073346138000488
wah,ha,1.1078710556030273
wah yang mi goreng mi goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,4.562378406524658
mihun goreng,mihun goreng,1.7759449481964111
dia punya bahan-bahan dia,dia punya bahan bahan dia,2.3979039192199707
em,em,0.9245178699493408
oh,ha,0.8925032615661621
dia punya cara-cara nak masak dia macam mana pula,dia punya cara cara nak masak dia macam mana pula,4.535017490386963
ah,ah,0.9496915340423584
dia punya,dia punya,1.295304298400879
cara-cara hidang dia macam gitu je lah,cara cara hidang dia macam gitu je lah,2.7849347591400146
eh,eh,0.9403076171875
um,hm,0.8846292495727539
ah,ah,0.8789615631103516
sedapnya,sedap ke,1.32279634475708
lepas tu contoh makanan lain,lepas tu contoh makanan lain,2.9022698402404785
ah,ah,1.2721757888793945
rendang,rendang,1.1712548732757568
ren,Tent,1.11942458152771
dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time hari raya je ke,3.4620420932769775
em lepas tu and then,ah lepas tu and then,1.9747962951660156
hm,hm,0.8843114376068115
lepas tu makanan-makanan lain yang kau suggest kan,lepas tu makanan makanan lain yang kau suggest kan,3.771589756011963
mi kari,mi kari,1.8849213123321533
mi kari tu macam mana,mei kari tu macam mana,2.139404296875
yang spaghetti,mi Spaghetti,1.3153150081634521
bukan,bukan,1.100691556930542
bukan yang mi kuning biasa ke,pakai mi kuning biasa ke,2.372951030731201
lagi sedap,lagi sedap,1.6067185401916504
kenapa rasa dia lain ke,kenapa rasa dia lain ke,2.1698834896087646
oh,oh,1.1068415641784668
so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,3.039480209350586
aku nak makan,aku nak makan,1.347893476486206
ah,ah,0.9058752059936523
nasi ah bukan nasi,nasi ah bukan nasi,1.9555690288543701
em ayam masak merah,em ayam masak merah,2.142756700515747
sedap sedap sangat,sedap sedap sangat,1.7549090385437012
ah ah tu,ah ah tu,1.4134674072265625
[UNK] aku macam kalau time hari raya,lepas aku macam setengah petang hari raya,4.178523063659668
aku selalu makan,aku selalu makan,1.5897119045257568
tu je ayam masak merah je,tu je ayam masak merah je,2.5526514053344727
boleh,boleh,1.1096365451812744
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,4.9893105030059814
yang ketupat punya sedap,dengan ketupat pun sedap,3.279766321182251
em makanan sekejap eh aku fikir,hm makanan sekejap ah kau fikir,3.079758644104004
ah apa kan,ah apa kan,1.3398258686065674
luar negara,luar negara,1.5445330142974854
hm,hm,0.8785092830657959
ramai lah ramen,ramen lah ramen,1.5582282543182373
ha,ah,0.867340087890625
aku suka ramen yang samyang tu,aku suka ramen yang Samyang tu,2.823957920074463
yang original punya yang pedas,yang original punya yang pedas,2.3878374099731445
em kalau aku suka pedas pedas tak suka yang bercheese,hm kalau aku suka pedas pedas tak suka yang bercheese,3.6467137336730957
cheese kalau aku makan cheese,cheese kalau aku makan cheese,1.99564790725708
pening kepala,pening kepala,1.5123157501220703
sushi,sushi,1.0931203365325928
kenapa,kenapa,1.1836142539978027
ah lepas tu,ah lepas tu,1.992215633392334
ah,ah,1.1999914646148682
makanan lain,makanan lain,1.3846325874328613
hm kalau aku aku kalau makanan luar negara,hm kalau aku aku kalau makanan luar negara,3.0235495567321777
aku selalu makan,aku selalu makan,1.5390040874481201
ah ori ori onigiri itu,ah ori ori ori gary gitu,2.8386266231536865
onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,oligari yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar,7.769144773483276
ada yang,ada yang,1.157317876815796
letak lobster,letak lobster,1.3080224990844727
ah letak ayam letak tuna,ah letak ayam letak tuna,2.387254238128662
memang sedap,lagi sedap,1.5393569469451904
ah dia onigiri tu ada dalam bentuk segi tiga je,ha dia hari-hari tu ada dalam bentuk segi tiga je,5.212098836898804
sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap,sebenarnya kat Malaysia ni ada banyak lagi makanan sedap,3.5285966396331787
ah contoh dia macam,ah contoh dia macam,1.7634360790252686
ah,ah,0.8931019306182861
contohnya,contohnya,1.3154253959655762
em,um,0.8988747596740723
nasi goreng pataya,nasi goreng pataya,2.5683162212371826
ah ah di-dia balut dengan telur,ha ah dia balut dengan telur,3.2292771339416504
dengan te- dengan dengan bat- telur dadar,dengar tak dengan dengan bat telur dadah,3.0785510540008545
ha ah dia letak sos,ha dia letak sos,1.7764976024627686
kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak,kalau letak sos macam-macam lah dia letak ada buat macam bentuk corak,5.004849195480347
bentuk macam macam lah,untuk macam macam lah,2.3970181941986084
em,em,1.2791430950164795
makanan paling famous la eh aku nak makan,makanan paling famous la eh aku nak makan,2.572096109390259
aku nak makan,aku nak makan,1.376389741897583
mi rebus,mi rebus,1.2957592010498047
ha ah,ha ah,1.1010851860046387
ah ah,ha ah,1.081129789352417
betul,betul,1.1090013980865479
sedap ah ada yang mi rebus letak daging,sedap ah ada yang mi rebus letak daging,3.957462787628174
letak daging hm,letak daging hm,2.195537567138672
ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,ha cuma macam ada sesetengah orang kan ada alergi dengan udang so dia orang tak boleh makan oh ah ada orang orang buat,6.933027982711792
mi rebus daging,mi rebus daging,1.7937586307525635
rasa dia pun lebih kurang juga sedap juga,rasa dia pun lebih kurang juga sedap juga,4.034103870391846
nasi ayam makan apa tu,nasi ayam bukan apa tu,2.2438039779663086
hm,hm,0.9001858234405518
oh,ah,0.8750429153442383
ha weh ah aku dah nak kena pergi bye,ha weh ah aku dah nak kena pergi bye,3.0306143760681152
bye mak,bye ma,1.1092119216918945
hai,hai,0.8676464557647705
um bila je,um dulu saja,1.3872575759887695
je,ya,1.0991976261138916
um tahu,em aku tahu,1.8196887969970703
ah,ah,0.9207916259765625
hm,um,0.9007184505462646
tak ada lagi,tak ada lagi,1.3087711334228516
um,hm,0.8917431831359863
um hm um,em,0.8835463523864746
kalau aku tahu pasal,kalau aku tahu pasal,1.9341485500335693
pasal beraya ni aku tahu macam,pasal beraya ni aku tahu macam,2.368194341659546
orang Islam la pasal tudung,orang Islam lah pasal tudung,2.652348041534424
pakaian tudung dia lah,pakaian tudung dia lah,2.814624071121216
um sebab,um sebab,1.344731330871582
[UNK] pada dua ribu tiga belas,ma pada dua ribu tiga belas,2.5806164741516113
ah kebanyakkan wanita Melayu Malaysia pakai tudung,ah kebanyakan wanita Melayu Malaysia pakai tudung,3.7290141582489014
kegunaan tudung ni,kegunaan tudung ni,2.400879144668579
tak biasa sebelum [UNK] Iran semasa sembilan belas tujuh puluh sembilan,tak biasa sebelum revalusi Iran semasa sembilan belas tujuh puluh sembilan,6.647243976593018
dan tempat tempat yang mempunyai wanita di tudung,dan tempat tempat yang mempunyai wanita di tudung,4.150670051574707
cenderung menjadi kawasan pendalaman,cenderung menjadi kawasan pendalaman,3.040597677230835
penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an,6.761598110198975
ketika konservatisme,ketika konservatisme,1.9929454326629639
agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,agama di kalangan orang Melayu di Malaysia dan Singapura meningkat,4.377501487731934
beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an,6.459148645401001
percaya bahawa hijab bukan satu mandatori,percaya bahawa hijab bukan satu mandatori,3.1054863929748535
menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam,7.87394380569458
pada tahun sama Malaysia mempunyai,pada tahun sama Malaysia mempunyai,2.8845295906066895
industri fesyen berkaitan tudung,industri fashion berkaitan tudung,2.628681182861328
masyarakat Melayu Malaysia mempunyai,masyarakat Melayu Malaysia mempunyai,3.487154722213745
reaksi negatif terhadap wanita Muslim yang tidak memakai tudung,reaksi negatif terhadap wanita Muslim yang tidak memakai tudung,5.5194478034973145
ha so tu je lah pasal,ha so tu je lah pasal,2.210442304611206
pasal tudung yang pasal budaya tudung yang aku tahu,pasal tudung yang pasal budaya tudung yang aku tahu,3.616715669631958
selain daripada tu banyak lah lagi,selain daripada tu banyaklah lagi,2.6261420249938965
macam sukan,macam sukan,1.719806432723999
dia orang,dia orang,1.6998507976531982
ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,ah dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia,6.086818695068359
um macam Cina dia suka macam,em macam Cina dia suka macam,2.214277744293213
sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la,sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu lah,6.077839612960815
Zapin,Zapin,1.4782767295837402
um um,em em,1.1125438213348389
ha aku pernah lah masuk,ha aku pernah lah masuk,1.7437944412231445
tak ah dekat sekolah aku,tak ah kat sekolah aku,2.1263692378997803
masuk kelab budaya so aku memang,masuk kelab budaya so aku memang,2.5732533931732178
ha ada pengalaman Zapin la dekat sekolah,ah ada pengalaman zapin lah dekat sekolah,4.300909757614136
so memang,so memang,1.4039862155914307
um boleh lah sebab aku memang minat menari,um boleh lah sebab aku memang minat menari,2.987152576446533
so zapin je yang ada so memang aku masuk zapin ah,so zafin je yang ada so memang aku masuk zafin ah,3.9316184520721436
dia punya tarian tu memang,dia punya tarian tu memang,2.4124207496643066
kena lembut,kena lembut,2.028959274291992
lepas tu ada step step yang,lepas tu ada step step yang,2.8037846088409424
susah yang kena laju so memang kau kena,susah yang kena laju so memang kau kena,3.4953525066375732
cepat pick up,cepat pika,1.5922272205352783
hm,hm,0.88299560546875
hm,hm,0.8719420433044434
um,em,0.8841643333435059
um hm,hm,0.8922181129455566
kalau aku aku suka,kalau aku aku suka,2.130951404571533
macam,macam,1.5578203201293945
Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab,6.454161167144775
sebab cantik,sebab cantik,1.5541186332702637
um hm,N N,1.0989339351654053
ha ah,ah,0.9024982452392578
ke,ke,1.0123651027679443
lagu Melayu kot sebab,lagu Melayu kot sebab,3.2535171508789062
aku tak dwi bahasa selain daripada Melayu kalau English boleh lah,aku tak bererti bahasa selain daripada Melayu kalau English boleh lah,4.8491809368133545
um hm,hm,0.9514353275299072
um,hm,0.8943800926208496
kau pernah pergi macam,kau pernah pergi macam,1.7699649333953857
ha Warisan Budaya buat persembahan dekat muzium muzium tu ke kau pernah,ah barisan budaya buat persembahan dekat muzium muzium tu ke kau pernah,6.223187208175659
um,um,0.9372119903564453
aku kalau,aku kalau,1.1136901378631592
macam tengok tengok,macam tengok-tengok,2.3883278369903564
karya-karya tu pernah la macam lawatan daripada sekolah ke,karya-karya tu pernah lah macam lawatan daripada sekolah ke,4.513667106628418
um hm,um um,1.4318764209747314
macam seni seni,macam seni seni,2.0911314487457275
tu sejarah sejarah,tu sejarah sejarah,2.321258068084717
daripada ha ne-negeri tina,daripada ha negeri China,2.382659435272217
seni seni budaya ha macam tu,seni seni budaya ha macam tu,2.3814878463745117
ha karya-karya,ha karya-karya,1.9588072299957275
um hm,em em,1.0719101428985596
hm,hm,1.0682692527770996
ha pasal budaya juga kan ada macam kita macam,ha pasal budaya juga kan ada macam kita macam,4.0490429401397705
macam seni mempertahankan diri macam silat,macam seri mempertahankan diri macam silat,3.6857783794403076
lepas tu wushu macam aku aku pernah masuk,lepas tu wushu macam aku aku pernah masuk,2.988584518432617
silat,silat,1.09889817237854
silat ah ada lah nama silat kelab dia tu aku pernah masuk,silat ah ada lah nama silat kelab dia tu aku pernah masuk,5.011701583862305
ha ialah orang kata kalau umur sekarang ni,ha ya lah orang kata kalau umur kecil hari ni,3.614863634109497
untuk mempertahankan diri,untuk mempertahankan diri,2.6575610637664795
time tu umur aku,time tu umur aku,1.7480385303497314
sepuluh tahun,sepuluh tahun,1.7443842887878418
aku masuk,aku masuk,1.1758782863616943
silat tu daripada umur sepuluh tahun sampai aku tingkatan satu,silat tu daripada umur sepuluh tahun sampai aku tingkatan satu,5.865983486175537
so banyak,so banyak,1.1523010730743408
so banyak lah,so banyak lah,1.2915894985198975
ah pergerak pergerakan-pergerakan silat tu yang kau kadang,ah pergerak pergerakan pergerakan silat tu yang aku tahu kadang,4.490820646286011
ah aku silat kalau ada,ha aku silat kalau ada,2.3518948554992676
majlis perkahwinan,majlis perkahwinan,2.9975039958953857
dia orang akan panggil kumpulan silat kita orang untuk buat persembahan,dia orang akan panggil kumpulan silat kita orang untuk buat persembahan,4.79719877243042
ataupun,ataupun,1.1714909076690674
dari,dari,1.0982882976531982
ataupun program-program dekat sekolah ah kita orang ada buat,ataupun program-program dekat sekolah ah kita orang ada buat,4.644609689712524
persembahan silat lah kita buat yang basic punya,persembahan silat lah kita buat yang basic punya,3.2309861183166504
kita cuti,kita cuti,1.5644433498382568
hm um so banyaklah tentang budaya ni,um um so banyak lah tentang budaya ni,2.584500551223755
yang aku tau lepas tu pernah aku masuk macam silat ah apa semua tu,yang aku tahu lepas tu pernah aku masuk macam silat ah apa semua tu,4.44818902015686
tarian yang aku pernah,tarian yang aku pernah,2.4864397048950195
join lah,join lah,1.3964316844940186
itu je bye,kita je bye,1.5261719226837158
hai Syakirah,hai Shakira,1.3119969367980957
macam mana kau sekarang sihat,macam mana kau sekarang sihat,2.157029628753662
Alhamdulillah,Alhamdulillah,1.5484068393707275
tapikan sekarangkan kan sekarangkan banyak penyakitkan,tapi kan sekarang kan kan sekarang kan banyak penyakit eh,4.112449645996094
kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang,kalau engkau tengok berita semalam tak silap aku tiga ke dua penyakit yang,6.537880897521973
tersebar sekarang ada yang penyakit daripada kutu Denggi aku tak taulah ada dari-daripada ber-berita kutu dia kat kulit aku tak tau sebab apa dia ma-macam aku dia macam penyakit bahaya jugalah,tersebar sekarang ada yang penyakit daripada kutu denggi aku tak tahulah ada darip- daripada b-berita kutu dia dekat kulit aku tak tahu sebab apa dia ma- macam aku dia macam penyakit bahaya jugalah,15.389027118682861
ush tu tak ada tak ada vaksin dia tu tu kalau ada vaksin dia semua orang dah selamat tapi ramai yang dah meninggal sebab,ush tu tak ada tak ada vaksin je tu tu kalau ada vaksin je semua orang dah selamat tapi ramai yang dah meninggal sebab,8.638415098190308
Corona,Corona,1.1617279052734375
um um,em em,1.0989158153533936
betul,betul,1.0760948657989502
betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Sya-Syarikat dia,betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Syarikat dia,4.793997764587402
ya Allah hampir keseluruhan,ya Allah hampir keseluruhan,3.4807708263397217
penduduk situ kena,penduduk situ kena,2.2938973903656006
dia orang punya mat ah Corona tu meningkat je setiap masa,dia orang punya mat- ah Corona tu meningkat je setiap masa,4.05093789100647
dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya perdana menteri sekarang,dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya Perdana Menteri sekarang,6.560385227203369
apa ni,apa ni,1.6016011238098145
tak macam fikirkan diri sendiri tau,tak macam fikirkan diri sendiri tau,2.7315080165863037
ya,ya,0.900193452835083
tapi,tapi,1.102384090423584
dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru Denggi kan,dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru denggi kan,5.443175554275513
Denggi ni,Denggi ni,2.031806230545044
nyamuk,nyamuk,1.8686363697052002
kan kan setiap tahun mesti ada tapi kali ni dia macam extreme tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarangkan dia gigit sekali terus gatal,kan setiap tahun mesti ada tapi kali ni dia macam ekstrem tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarang kan dia gigit sekali terus gatal,10.511440515518188
dia kat ada satu nyamuk ni yang buat Denggi nilah dia gigitkan,dia kat ada satu nyamuk ni yang buat dengki lah dia gigit kan,5.668461084365845
memang kita,memang kita,1.3676424026489258
macam lemah,macam lemah,1.5408790111541748
sebab tu aku sekarang,sebab tu aku sekarang,1.7168877124786377
memang jaga-jaga gila,memang jaga-jaga gila,2.5883398056030273
kan aku pernah kena sekali,kan aku pernah kena sekali,2.604466199874878
um um,em em,1.4301414489746094
masuk masa tu darjah dua tak silap aku aku kena ruam ruam Denggi,masuk masa tu dajah dua tak silap aku aku kena ruam ruam dinggi,5.197775363922119
pas tu [UNK] kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa,lepas tu le-kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa,7.682793617248535
dahlah puasa,dahlah puasa,1.8447322845458984
lepas balik sekolah,lepas balik sekolah,2.182821035385132
memang lemahkan lepas tu kan,memang lemah kan lepas tu kan,2.6032981872558594
kan ada sofa sofa kat depan rumah aku aku baring situkan sekali bangun-bangun je banyak bintik-bintik mak aku dah hantar pergi pergi hospital dah masa tu,kan ada sofa sofa kat depan rumah aku aku baring situ kan sekali bangun bangun je banyak bintik bintik mak aku dah hantar pergi pergi hospital lah masa tu,10.24692177772522
dapat,apa,0.9410006999969482
tapi memang sakit ah sebab masa tu ya kan kan kena cucuk da-darahkan,tapi memang sakitlah sebab masa tu dia kan kan kena cucuk ba- darahkan,5.4306957721710205
dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk,dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk,7.095721483230591
tak dapat sekali ah ah sekali masa ah dekat siku,tak dapat sekali ah ah sekali masa ah dekat Siko,3.285051107406616
baru dia dapat darah aku,baru dia dapat darah aku,2.1893997192382812
ni macam baru dapat tempat yang boleh salurkan ni,ni macam baru dapat tempat yang boleh salurkan,3.2999536991119385
sakit wei aku menangis tapi kita kena jagalah kesihatan kita semua,sakit weh aku menangis tapi kita kena jagalah kesihatan kita sendiri,5.8955628871917725
kau tak kena macam-macam,kau tak kena macam-macam,2.655165433883667
ish demam panas bahaya,ish teman panas bahaya,2.155196189880371
sumpahlah,sumpahlah,1.5417389869689941
wau,wow,0.979794979095459
yalah dah muntahkan,yalah dah muntah kan,2.92545485496521
sakit wei kalau muntah aku walaupun aku tak suka muntahkan tapi bila rasa nak muntah kan aku rasa macam sakit gila kat tekak,sakit weh kalau muntah aku walaupun aku tak suka muntah kan tapi bila rasa nak muntah tu aku rasa macam sakit gila kat tekak,9.328016757965088
kalau perasan memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah,kalau perasa memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah,6.495872497558594
em em,em em,1.1686673164367676
yang untuk check Corona virus tu kan kena cucuk dalam tekak kan sakit weh ah,yang untuk check Corona Virus tu kan kena cucuk dalam tekak kan sakit weah,4.758912086486816
ya ya sakit sakit aku tahu aku paling tak suka muntahlah dalam banyak-banyak benda aku paling tak suka muntah,ya ya sakit sakit aku tahu aku paling tak suka muntah lah dalam banyak-banyak benda aku paling tak suka muntah,8.421619653701782
setiap kali kalau aku nak muntah mesti aku akan telan balik,setiap kali kalau aku nak muntah mesti aku akan telan balik,4.604230165481567
em,hm,0.9303410053253174
ya aku telan balik,ya aku talan balik,1.950688362121582
aku tak tahu kenapakan memang kalau telan balik rasa memang pelik kan rasa tak sedapkan sebab,aku tak tahu kenapa kan memang kalau telan balik rasa memang pelik kan rasa tak sedap kan sebab,6.95207142829895
apa yang kita makan tu kita telan balikkan tapi,apa yang kita makan tu kita tolong balikkan tapi,3.307304859161377
memang aku memang aku tak suka muntah,memang aku memang aku tak suka muntah,2.8795952796936035
sebab aku pernah muntah,sebab aku pernah muntah,2.6665072441101074
bukan muntah tau dia macam kahak tau,bukan muntah tau dia macam kahak tau,3.6710398197174072
kan kahak kahak kan susah nak keluarkan,kan kahak kahak kan susah nak keluarkan,3.0704338550567627
so,so,0.9178202152252197
pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit ah nak keluarkan kahak je [UNK] tak boleh [UNK] daripada tu terus aku tak,pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakitlah nak keluarkan kahak je tak boleh se-daripada tu terus aku tak,13.099084377288818
tak tak suka muntah,tak tak suka muntah,1.990839958190918
em em,hm hm,1.0861811637878418
oh ya ambil darah,oh ya ambil darah,1.9538295269012451
ambil darah tak payah [UNK] tak payah ceritalah memang sakitlah,ambil darah tak payah tak payah cerita lah memang sakit lah,5.414003610610962
ya kalau kita kalau kita dapat nurse yang baik,ya kalau kita kalau kita dapat nurse yang baik,2.6923105716705322
dia akan macam,dia akan macam,1.532273292541504
