reference,base_prediction
bukan, bukan
bukan yang mi kuning biasa ke, pakai mie kuning biasa ke
lagi sedap, terima kasih
kenapa rasa dia lain ke, kenapa rasa dia lain ke
oh, eeeeh
so makanan lain yang aku nak rasa, so makanan lain yang aku nak rasa
aku nak makan, takut nak makan
ah, ah
nasi ah bukan nasi, nasi
em ayam masak merah, hmm ayam masak merah
sedap sedap sangat, sedap sedap sangat
ah ah tu, err
[UNK] aku macam kalau time hari raya, terima kasih kerana menonton
aku selalu makan, aku selalu makan
tu je ayam masak merah je, itu je ayam masak merah je
boleh, boleh
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga, makan dengan nasi empit pun sedap juga makan dengan nasi pun sedap juga
yang ketupat punya sedap, dengan ketupat pun sedap
em makanan sekejap eh aku fikir, makanan keke
ah apa kan, terima kasih kerana menonton
luar negara, ruan agarul
hm, hmm
ramai lah ramen, ramen ah ramen
ha, terima kasih kerana menonton
aku suka ramen yang samyang tu, uska ramai ni yang samyang tu
yang original punya yang pedas, yang original punya pedas
em kalau aku suka pedas pedas tak suka yang bercheese, hmm kalau aku suka pedaspedas tak suka yang pecis
cheese kalau aku makan cheese, kalau aku makan cheese
pening kepala, pening palu
sushi, cusi
kenapa, kenapa
ah lepas tu, kamu mampus tu
ah, haa
makanan lain, makanan lain
hm kalau aku aku kalau makanan luar negara, hmm kalau aku aku kalau makanan luar negara
aku selalu makan, hukum maklum
ah ori ori onigiri itu, orangorang orangorang gergidu
onigiri yang ah dia dia pulut segi tiga pulut segi tiga dalam tu ada lah ah kalau kat luar, yang ada dia pulut segitiga pulut segitiga dalam tu adalah kalau kat luar
ada yang, ada yang
letak lobster, letak lobster
ah letak ayam letak tuna, kalau letak ayam letak tunang
memang sedap, terima kasih kerana menonton
ah dia onigiri tu ada dalam bentuk segi tiga je, haa dia dia kari tu ada dalam betul segi tiga je
sebenarnya kat Malaysia ni ada banyak lagi makanan yang sedap, sebenarnya kat malaysia ni ada banyak lagi makanan sedap
ah contoh dia macam, cinta dia macam
ah, hmm
contohnya, jantanya
em, okay
nasi goreng pataya, nasib korang patah ya
ah ah di-dia balut dengan telur, dia balut dengan telur
dengan te- dengan dengan bat- telur dadar, dengan lebat telur dadah
ha ah dia letak sos, haa dia letak sos
kalau letak sos tu macam macam lah dia letak ada buat macam bentuk corak, macammacam lah dia dia buat macam bentuk corak
bentuk macam macam lah, untuk macammacam lah
em, hmm
makanan paling famous la eh aku nak makan, makanan paling famous lah eh aku nak makan
aku nak makan, aku nak makan
mi rebus, mira bos
ha ah, tak
ah ah, tak
betul, terima kasih kerana menonton
sedap ah ada yang mi rebus letak daging, sedap ada yang mie rebus letak daging
letak daging hm, letak daki
ha so macam ada sesetengah orang kan ada alergic dengan udang so dia orang tak boleh makan oh ah ada orang orang buat, haa cuma macam ada sistem orang kan ada allergic dengan udang so diorang tak boleh makan so ada orang buat
mi rebus daging, mirabu steking
rasa dia pun lebih kurang juga sedap juga, rasa dia pun lebih kurang juga sedap juga
nasi ayam makan apa tu, asyik ayam kenapa tu
hm, hmm
oh, uh
ha weh ah aku dah nak kena pergi bye, wait aku dah nak kena pergi bye
bye mak, bye
hai, hai
um bila je, hmm dua je
je, ya
um tahu, hmm tahu
ah, ah
hm, hmm
tak ada lagi, tadi lagi
um, hmm
um hm um, hmm
kalau aku tahu pasal, kalau aku tau pasal
pasal beraya ni aku tahu macam, pas saya belajar ni aku tahu macam
orang Islam la pasal tudung, orang islam lah pasal tudung
pakaian tudung dia lah, pakaian tudung dia lah
um sebab, hmm super
[UNK] pada dua ribu tiga belas, pada 2013
ah kebanyakkan wanita Melayu Malaysia pakai tudung, kebanyakan wanita melayu malaysia pakai tudung
kegunaan tudung ni, kegunaan tudung ni
tak biasa sebelum [UNK] Iran semasa sembilan belas tujuh puluh sembilan, tak biasa sebelum river the sea irens masa 1979
dan tempat tempat yang mempunyai wanita di tudung, dan tempattempat yang mempunyai wanita ditudung
cenderung menjadi kawasan pendalaman, cenderung menjadi kawasan pendalaman
penggunaan tudung semakin meningkat selepas tahun sembilan belas tujuh puluh an, penggunaan tudung semakin meningkat selepas tahun 1970an
ketika konservatisme, ketika konservatisme
agama di kalangan orang Melayu di Malaysia dan Singapura meningkat, agama di kalangan orang melayu di malaysia dan singapura meningkat
beberapa ulama dan tokoh agama Kelantan pada sembilan belas enam puluh an, beberapa ulama dan tokoh agama kelantan pada 1960an
percaya bahawa hijab bukan satu mandatori, percaya bahawa hijab bukan satu mandatory
menjelang dua ribu lima belas ulama Malaysia percaya pandangan sebelum ini tidak bercirikan Islam, menjelang 2015 ulama malaysia percaya pandangan sebelum ini tidak bercirikan islam
pada tahun sama Malaysia mempunyai, pada tahun sama malaysia mempunyai
industri fesyen berkaitan tudung, industri fesyen berkaitan tudung
masyarakat Melayu Malaysia mempunyai, masyarakat melayu malaysia mempunyai
reaksi negatif terhadap wanita Muslim yang tidak memakai tudung, yaksi negatif terhadap wanita muslim yang tidak memakai tudung
ha so tu je lah pasal, so tu je lah pasal tu
pasal tudung yang pasal budaya tudung yang aku tahu, pasal budaya tuduhnya aku tahu
selain daripada tu banyak lah lagi, selain daripada tu banyaklah lagi
macam sukan, jangan lupa like share dan subscribe
dia orang, mereka
ha dia orang kebanyakkan tak pakai tudung yang macam India dia macam suka sari atas kepala dia, dua orang kebanyakan tak pakai tulang jang macam angel dia macam suka sari atas kepala dia
um macam Cina dia suka macam, macam cina dia suka macam
sepit sepit macam cucuk cucuk dia simpul rambut dia ah macam tu la, sepitsepit macam cucucucu dia simpul rambut dia macam tu lah
Zapin, zafiq
um um, hmm
ha aku pernah lah masuk, aku penatlah masuk
tak ah dekat sekolah aku, kat sekolah aku
masuk kelab budaya so aku memang, masuk kelab budaya so aku memang
ha ada pengalaman Zapin la dekat sekolah, ada pengalaman zapin lah dekat sekolah
so memang, so memang
um boleh lah sebab aku memang minat menari, boleh lah sebab aku memang minat menari
so zapin je yang ada so memang aku masuk zapin ah, so zafin je yang ada so memang aku masuk zafin also
dia punya tarian tu memang, dia punya tarian tu memang
kena lembut, kena lembut
lepas tu ada step step yang, lepas tu ada stepstep yang
susah yang kena laju so memang kau kena, susah yang kena laju so memang kau kena
cepat pick up, cepat pika
hm, hmm
hm, hmm
um, hmm
um hm, hmm
kalau aku aku suka, kalau aku suka
macam, macam
Sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab, sarawak sebab aku suka pakaian dia kalau dalam tarian aku suka tengok pakaian dia sebab
sebab cantik, sebab cantik
um hm, ya
ha ah, ah
ke, ke
lagu Melayu kot sebab, lagu melayu kot sebab
aku tak dwi bahasa selain daripada Melayu kalau English boleh lah, aku tak beri bahasa selain daripada melayu kalau english bolehlah
um hm, hmm
um, hmm
kau pernah pergi macam, kau pernah pergi macam
ha Warisan Budaya buat persembahan dekat muzium muzium tu ke kau pernah, barisan belia buat persembahan dekat muzimmuzim tu ke kau pernah
um, hmm
aku kalau, aku kalau
macam tengok tengok, macam tinggutinggu
karya-karya tu pernah la macam lawatan daripada sekolah ke, karyakarya tu pernah lah macam lawatan daripada sekolah ke
um hm, hmm
macam seni seni, macam seniseni
tu sejarah sejarah, sejarahsejarah
daripada ha ne-negeri tina, daripada negeri dainah
seni seni budaya ha macam tu, seniseni budaya haa macam tu
ha karya-karya, ah korea korea
um hm, hmm
hm, hmm
ha pasal budaya juga kan ada macam kita macam, pasal budaya juga kan ada macam kita macam
macam seni mempertahankan diri macam silat, macam sedih mempertahankan diri macam sidlan
lepas tu wushu macam aku aku pernah masuk, lepas tu wushu macam aku aku pernah masuk
silat, sila
silat ah ada lah nama silat kelab dia tu aku pernah masuk, silet adalah nombor silet club dia tu aku pernah masuk
ha ialah orang kata kalau umur sekarang ni, yelah orang kata kalau umat usia ni
untuk mempertahankan diri, untuk mempertahankan diri
time tu umur aku, time tu umur aku
sepuluh tahun, 10 tahun
aku masuk, aku masuk
silat tu daripada umur sepuluh tahun sampai aku tingkatan satu, si lab tu daripada umur 10 tahun sampai aku tingkatan 1
so banyak, so banyak
so banyak lah, so banyak lah
ah pergerak pergerakan-pergerakan silat tu yang kau kadang, pergerakanpergerakan silap tu yang aku tahu kadang
ah aku silat kalau ada, aku select kalau ada
majlis perkahwinan, majlis perkahwinan
dia orang akan panggil kumpulan silat kita orang untuk buat persembahan, dia akan panggil kumpulan silik kita untuk buat persembahan
ataupun, ataupun
dari, dari
ataupun program-program dekat sekolah ah kita orang ada buat, ataupun programprogram dekat sekolah kita orang ada buat
persembahan silat lah kita buat yang basic punya, persembahan sila lah kita buat yang basic punya
kita cuti, kizuti
hm um so banyaklah tentang budaya ni, so banyaklah tentang budaya ni
yang aku tau lepas tu pernah aku masuk macam silat ah apa semua tu, ya aku tahu lepas tu pernah aku masuk macam sekitik apa semua tu
tarian yang aku pernah, kalian yang aku pernah
join lah, join
itu je bye, gedegede mei
hai Syakirah, hai shakira
macam mana kau sekarang sihat, macam mana kau sekarang sihai
Alhamdulillah, alhamdulillah
tapikan sekarangkan kan sekarangkan banyak penyakitkan, tapi kan sekarang kan kan sekarang kan banyak penyakit eh
kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang, kalau kau tengok berita semalam tak silap aku tiga ke dua penyakit yang
tersebar sekarang ada yang penyakit daripada kutu Denggi aku tak taulah ada dari-daripada ber-berita kutu dia kat kulit aku tak tau sebab apa dia ma-macam aku dia macam penyakit bahaya jugalah, tersebar sekarang ada yang penyakit daripada kutu dengki aku tak tahulah ada daripada berita kutu dia dekat kulit aku tak tahu sebab apa dia macam penyakit bahaya jugalah
ush tu tak ada tak ada vaksin dia tu tu kalau ada vaksin dia semua orang dah selamat tapi ramai yang dah meninggal sebab, uishh tu tak ada tak ada vaksin je tu tu kalau ada vaksin je semua orang dah selamat tapi ramai yang dah meninggal sebab
Corona, corona
um um, terima kasih
betul, betul
betul lagi-lagi kau kalau kau tengok sekarang dekat Amerika Sya-Syarikat dia, betul lagilagi kalau kau tengok sekarang dekat amerika syarikat dia
ya Allah hampir keseluruhan, ya allah hampir keseluruhan
penduduk situ kena, penduduk situ kena
dia orang punya mat ah Corona tu meningkat je setiap masa, corona itu meningkat setiap masa
dia orang buat tapi biasalah pernah ke dengar cakap lagi-lagi dia punya perdana menteri sekarang, dia orang buat tapi biasalah pernah ke dengar cakap lagilagi dia punya perdana menteri sekarang dia orang buat tapi biasalah
apa ni, abang ni
tak macam fikirkan diri sendiri tau, tak macam fikirkan diri sendiri
ya, you
tapi, tapi
dalam ah Corona Virus ni kan dalam masalah Corona Virus kita ada ada juga yang baru Denggi kan, dalam coronavirus ni kan dalam masalah coronavirus kita ada juga yang baru dengian
Denggi ni, dengini
nyamuk, nyamuk
kan kan setiap tahun mesti ada tapi kali ni dia macam extreme tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarangkan dia gigit sekali terus gatal, kan setiap tahun mesti ada tapi kali ni dia macam ekstrim tau dia macam lagi bahaya sebab sekarang nyamuk kalau kau tengok nyamuk sekarang kan dia gigit sekali terus gatal
dia kat ada satu nyamuk ni yang buat Denggi nilah dia gigitkan, dia ada satu nyamuk ni yang buat dia inggir lah dia gigit kan
memang kita, memang kita
macam lemah, macam lemah
sebab tu aku sekarang, sebab itu aku sekarang
memang jaga-jaga gila, memang jagajaga je
kan aku pernah kena sekali, okey aku pernah kena sekali
um um, hmm
masuk masa tu darjah dua tak silap aku aku kena ruam ruam Denggi, masuk masa tu dah jadual tak silap aku aku kena ruam ruam dinggi
pas tu [UNK] kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa, lepas tu kena tu lepas balik sekolah tau sebab aku rasa memang rasa lemah masa tu puasa
dahlah puasa, dan la puasa
lepas balik sekolah, lepas balik sekolah
memang lemahkan lepas tu kan, memang lemah eh tapi pasal tu eh
kan ada sofa sofa kat depan rumah aku aku baring situkan sekali bangun-bangun je banyak bintik-bintik mak aku dah hantar pergi pergi hospital dah masa tu, kan ada sofa kat depan rumah aku aku baring situ kan sekali bangunbangun je banyak bintikbintik mak aku dah hantar pergi hospital masa tu
dapat, nampak
tapi memang sakit ah sebab masa tu ya kan kan kena cucuk da-darahkan, tapi memang sakit lah sebab masa tu dia kan kena cucuk darah kan
dia cucuk darah kat dua-dua belah tangan tau dekat lima kali dia cucuk, dia cocok darah kat duadua belah tangan dekat lima kali dia cocok
tak dapat sekali ah ah sekali masa ah dekat siku, tak dapat sekali sekali masa dekat siko
baru dia dapat darah aku, baru dia dapat darah aku
ni macam baru dapat tempat yang boleh salurkan ni, macam baru dapat tempat yang boleh salurkan
sakit wei aku menangis tapi kita kena jagalah kesihatan kita semua, sakit weh aku menangis tapi kita kena jagalah kesihatan kita sendiri
kau tak kena macam-macam, kotak kena macammacam
ish demam panas bahaya, eish teman panas bayar
sumpahlah, sumpah lah
wau, wow
yalah dah muntahkan, dan dia muntah ke
sakit wei kalau muntah aku walaupun aku tak suka muntahkan tapi bila rasa nak muntah kan aku rasa macam sakit gila kat tekak, sakit weh kalau muntah aku walaupun aku tak suka muntah kan tapi bila rasa nak muntah aku rasa macam sakit gila kat tekak
kalau perasan memang sakitlah memang pedih tekak kita sebenarnya kalau nak nak muntah, kalau perasaan memang sakit lah memang pedih tekak kita sebenarnya kalau nak muntah
em em, hmmhmm
yang untuk check Corona virus tu kan kena cucuk dalam tekak kan sakit weh ah, yang untuk cek coronavirus tu kan kena cucuk dalam tegak kan sakit dia
ya ya sakit sakit aku tahu aku paling tak suka muntahlah dalam banyak-banyak benda aku paling tak suka muntah, ya ya sakit sakit aku tahu aku paling tak suka muntah lah dalam banyakbanyak benda aku paling tak suka muntah
setiap kali kalau aku nak muntah mesti aku akan telan balik, setiap kali kalau aku nak muntah mesti aku akan telan balik
em, hmm
ya aku telan balik, ya aku telan balik
aku tak tahu kenapakan memang kalau telan balik rasa memang pelik kan rasa tak sedapkan sebab, aku tak tahu kenapa kan memang kalau telam balik rasa memang pelik kan rasa tak sedap kan sebab
apa yang kita makan tu kita telan balikkan tapi, apa yang kita makan tu kita telah balikkan tapi
memang aku memang aku tak suka muntah, memang aku tak suka muntah
sebab aku pernah muntah, sebab aku pernah muntah
bukan muntah tau dia macam kahak tau, bukan muntah tau dia macam kahak tau
kan kahak kahak kan susah nak keluarkan, kena kena susah nak keluar kan
so, so
pernah sekali ni aku nak keluarkan kahak tu kan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit ah nak keluarkan kahak je [UNK] tak boleh [UNK] daripada tu terus aku tak, pernah sekali ni aku nak keluarkan kahak tuan sampai aku punya perut sakit gila mak aku pun mak aku pegang perut aku memang sakit lah nak keluarkan kahak je tak boleh daripada tu terus aku tak
tak tak suka muntah, tak suka muntah
em em, hmm
oh ya ambil darah, amik darah
ambil darah tak payah [UNK] tak payah ceritalah memang sakitlah, amik darah tak payah cerita lah memang sakit lah
ya kalau kita kalau kita dapat nurse yang baik, kalau kita dapat nurse yang baik
dia akan macam, dia akan menjemput
okey okey slow slow slow slow tapi kalau kita dapat nurse yang garangkan terus cucuk weh aku macam sakit weh aku pernah kena aku pernah kena, okay okay slow slow slow tapi kalau kita dapat nurse yang garang kan dia terus cocok weh aku macam sakit weh aku pernah kena aku pernah kena
tapi kan, terpian
[UNK] um kalau kita ambil darahkan, kalau kita ambil darah kan
kita rasa macam, kita macam
pe- ah peningkan, peningin
kalau perasan kalau kita nak kalau aku kalau ambil darahkan mesti aku akan pengsan, kalau aku ambil darah kan maksudnya aku akan pingsan
aku ah aku akan macam terus tak sedar, aku akan macam terus tak sedar
sebab aku tak suka tengok darah sebab tu lah kalau aku [UNK] kalau aku terfikir nak nak buat sesuatu tu macam buat dekat aku punya tangan ke apa kan aku mesti fikir banyak kali sebab aku tak suka darah, sebab aku tak suka tengok darah sebab tu dah kalau aku terfikir nak buat sesuatu tu macam buat dekat aku punya tangan ke apa kan aku masih fikir banyak kali sebab aku tak suka darah
[UNK] tak suka doh, terima kasih kerana menonton
wau, wow
wau, wow
sakit eh, sakit
tapikan, terima kasih
ah macam yang Cikgu Salina cakap tadikan, macam yang encik gusalina cakap tadi kan
yang dia cakap kau ada yang kau yang, yang dia cakap quality yang yang
yang kolestrol dalam badan dia tinggi tu, yang kolesterol dalam badan dia tinggi tu
sebenar- sebenarnya tu bahaya juga tau, sebenarnya tu bahaya jugak tau
[UNK] kita mungkin kita ah ketawakan dengar dia cakap macam tu tapi sebenarnya tu bahaya aku pernahlah nampak orang yang kena kolestrol tinggikan dia memang dia punya darah tinggi semua tinggi memang dia kena pantang je setiap masa, mungkin kita ketawa kan dengar dia cakap macam tu tapi sebenarnya tu bahaya aku pernah lah nampak orang yang kena kolesterol tinggi kan dia memang dia punya darah tinggi semua tinggi memang dia kena pantang dia setiap masa
tak boleh makan tu tak boleh makan ni eh sakitlah, tak boleh makan tu tak boleh makan ni sakit lah
siapa dia nak macam tu aku pun tak nak, siapa je nak macam tu aku pun tak nak
betul, betul
obesiti, obesiti
oh obesiti kan sekarang terkenal bukan terkenal apa sebab ya lah dah ramai orang makan ramai orang makan banyak benda lepas tu kena obesiti, obesity kan sekarang terkenal bukan terkenal apa sebab yelah dah ramai orang makan ramai orang makan banyak benda pasal kan obesity
betul, betul
betul, betul
tapi kita kena jagalah, ya begitu kena jagalah
hm em, hmm
sekarang ni kan, sekarang ni kan
kesihatan kita memang [UNK] kita kena jaga kita pergi sekolah kita kena, kesihatan kita memang kita kena jaga kita pergi sekolah pun kita kena jaga
check suhu, cik suhu
sebab kesihatan kan keselamatan kita sebab kita tak tahu pun er macam mana virus tersebar [UNK] kawan kita kena ke tak kita tak tahu kan [UNK], sebab kesihatan kan keselamatan kita sebab kita tak tahu pun macam mana virus tu tersebar kawan kita kena ke tak kita tak tahu kan so memang
apa dia, amin
oh, hmm
siapa tak berdebar aku pun berdebar, terpulih tak boleh berakukun boleh berakukun
hm, hmm
apa benda, apa benda
tinggi, tinggi
suhu pernah sekali, suhu penuh sekali
tiga enam point sembilan, 369
[UNK] ah paling tinggi [UNK] ah pernah check suhu satu masa tu kat sekolah aku datang lambat kan Cikgu Fadhli Fadhli Cikgu Fadhli check suhu tiga puluh lapan point satu, masa haa paling tinggi pernah cek suhu satu masa tu kat sekolah aku datang lambat kan cikgu fadli cikgu fadli cek suhu 381
tapi tu mungkin rosak kot dia punya temperature kan, tapi itu mungkin rosak kot dia punya temperature kan
tak aku buat lagi satu kan baru dapat suhu betul yang tiga puluh enam point empat, aku buat lagi satu kan baru dapat suhu betul yang 364
seram weh, seram
ha ah, terima kasih
tapi, tapi
hm, terima kasih
ya ya tak macam satu je negara kita semua kena, ya dia tak macam satu je negara kita semua kena
pernah kan, pernah kan
tak ada semua kena, tak ada semua kena
semua kena tapi tapi ada yang baik ada yang ma- macam merebak, semua kena tapi ada yang baik ada yang makin merebak
dia macam tu lah, dia macam tu lah
tapi ada satu, lebih ada satu
betul, betul
betul, betul
dia [UNK], terima kasih
tapi dia tipu, terpilih tipu
ha dia kata dia kata apa ni virus tu makin makin sikit kan tapi sebenarnya ramai yang kena, dia kata virus tu makin sikit kan tapi sebenarnya ramai kena
ada [UNK] ada satu virus ni kita punya kita Malaysia je kena masa tu sembilan belas masa tu sembilan belas berapa entah kan ah Nipah virus, ada satu virus ni kita malaysia je kena masa tu 19berapa tahun nipah virus
[UNK] ah Nipah daripada pokok nipah masa [UNK] masa tu ramai memang ramai sangat-sangat yang meninggal sebab virus tu sebab kita tak kat Malaysia kita tak kita tak jumpa vaksin tu sekali sekali jumpa vaksin tu kan terus selamatkan, nipah daripada pokok nipah masa tu memang ramai sangatsangat yang meninggal sebab virus tu sebab kita tak kita tak jumpa vaksin tu sekalisekali jumpa vaksin tu kan terus selamatkan
Nipah Virus bahaya weh dekat dua ratus lebih orang meninggal, nipah virus bahaya weh dekat 200 lebih orang meninggal
aku sebenarnya aku dah lama tahu tu pun daripada mak aku, aku sebenarnya aku dah lama tahu itu pun daripada mak aku
tapi, terima kasih
hm em, hmm
ya, you
aku pun aku pun tak tau macam mana tapi, aku pun aku pun tak tahu macam mana tapi
entahlah mungkin ada [UNK] ada sautu yang dekat pokok nipah tu kita tak boleh nak, taklah mungkin ada sesuatu yang dekat pokok nipah tu kita tak boleh nak
er pegang or ah ataupun, pegang ataupun
sentuh ke kan, sentuh ke kanan
mungkin ada orang buat macam kajian ke dekat pokok nipah tu sampai, mungkin lah ada orang buat macam kajian ke kat pokok nipah tu sampai
kita tak tau, kita tahu
bertindaklah, betinda
nak lagi yang kita ada sekarang doktor tu, yang lagi yang kita ada sekarang doktor tu
Doktor Noor Hisham tu, datinahishamdu
memang memang [UNK] memang semua tabik ah kat dia sampai luar negara pun cakap cara dia ah kawal Covid ni, memang semua tabib lah kat dia sampai luar negara pun cakap cara dia kawal covid ni
memang bagus, memang bagus
kitakan Malaysiakan kena puji, malaysia kan kena puji
sebab kawal co- Covid tu, sebab kawal covid ni
kan, terima kasih
saya sebenarnya betul, terus sebenarnya betul
betul biasalah duniakan, betul biasalah dunia kan
so, so
jagalah kesihatan, jagalah kesihatan
jagalah diri, jadilah diri
okey, okey
bye bye jaga diri bye bye, byebye jaga diri byebye
Hairi, heidi
kau tengah buat apa tu, kau tahu apa itu
oh ka-kau tengah ni eh nak cari phone baru ke, oh kau tengah ni eh nak cari telefon baru ke
dengan dengan mak mak dengan mak engkau la, dengan mak kau lah
ah dengan, dan ini
dengan family eh, dengan family eh
oh kau tengah kau tengah search eh nak cari mana phone baru, oh kau tengah search lah nak cari mana phone baru
oh, jangan
yang phone kau rosak tu, yang phone koror 1 tu
kau ah kat, kau agak
oh masuk air, oh masa aje
erm hm, hmm
oh maksudnya, oh maksudnya
macam ni la tak, macam ni lah tak
kalis air la kan ada phone yang kalis air kan, kali saya kenapa dia telefon ni kali saya
ni kau tak-kau tak nak beli ke phone yang kalis air tu macam, kau tak nak beli ke telefon yang kena saya tu macam
ya la macam walaupun kos [UNK] macam harga dia mahal tapi masih jaga phone kau la, yelah macam walaupun kos mahal macam harga dia mahal tapi masih jaga phone kau lah
so macam phone kau tahan lama, so macam phone kau tanya nama
